,HC,HC,HC,FT,FT,FT,UV-FT,UV-FT,UV-FT,CC,CC,CC,UV,UV,UV
0,7.05,7.40,7.82,7.45,7.38,7.72,7.59,7.92,7.95,7.86,8.00,7.83,7.81,7.70,7.87
2,6.94,5.44,7.27,7.57,7.60,7.66,7.86,7.71,7.81,7.88,7.94,7.77,7.69,7.94,7.82
4,7.91,7.95,7.85,8.67,8.14,8.13,8.02,7.62,7.76,7.74,7.86,7.97,7.94,8.04,7.98
6,7.33,7.32,7.52,7.60,7.51,7.51,7.58,7.71,7.51,7.62,7.44,7.62,7.44,7.62,7.62
