X value [cm⁻¹],IR Spectrum 3/OPTIR (mV) [],IR Spectrum 4/OPTIR (mV) [],IR Spectrum 5/OPTIR (mV) [],IR Spectrum 7/OPTIR (mV) [],IR Spectrum 9/OPTIR (mV) [],IR Spectrum 8/OPTIR (mV) [],IR Spectrum 10/OPTIR (mV) [],IR Spectrum 11/OPTIR (mV) [],IR Spectrum 12/OPTIR (mV) []
940,-28.684663772583,-13.2238073348999,119.343627929688,797.848449707031,468.742095947266,388.946868896484,-691.89892578125,825.510925292969,-106.672470092773
942,-50.7965316772461,82.7530136108398,70.9598846435547,-251.803283691406,825.832397460938,180.010437011719,-437.400207519531,35.4285621643066,-24.5128765106201
944,-70.9150772094727,16.8056983947754,6.99323558807373,-395.885192871094,757.145385742188,220.498626708984,-212.279907226563,293.703674316406,296.136657714844
946,23.0196895599365,18.6471157073975,30.2971935272217,-267.876129150391,774.434143066406,201.294464111328,87.1859741210938,278.409332275391,395.307250976563
948,44.3542251586914,27.8587455749512,28.3481922149658,-133.405609130859,751.575073242188,389.103912353516,984.355895996094,241.214202880859,33.0326652526855
950,43.175537109375,21.3437271118164,25.4711227416992,-168.291564941406,775.892578125,253.374328613281,910.978393554688,226.801025390625,219.455444335938
952,62.678897857666,33.9420204162598,17.6191902160645,-254.617736816406,934.169982910156,6.18615341186523,598.010070800781,290.071105957031,159.130264282227
954,47.0868492126465,-6.93840217590332,61.9603157043457,-139.43408203125,755.058532714844,-14.9468660354614,480.497314453125,230.749084472656,214.036376953125
956,5.53636503219604,15.2825965881348,50.2317657470703,73.0163726806641,773.739990234375,-81.121955871582,623.12890625,388.071899414063,303.303924560547
958,17.3899574279785,32.5770797729492,66.5378952026367,111.014266967773,931.186218261719,115.877632141113,416.592224121094,459.230529785156,363.680053710938
960,73.2481842041016,68.3088455200195,60.5781631469727,-48.0382652282715,1036.1884765625,203.394119262695,615.83984375,303.660247802734,418.190704345703
962,57.7192001342773,63.0184516906738,33.852912902832,138.611846923828,1017.69689941406,354.910278320313,538.553527832031,568.752136230469,378.012908935547
964,26.1398830413818,44.4014282226563,44.2693710327148,181.340713500977,983.245483398438,274.912536621094,505.113952636719,533.381774902344,375.192352294922
966,32.6013870239258,79.9375915527344,36.5138854980469,98.040657043457,1101.58764648438,248.260208129883,718.38330078125,538.181579589844,465.141998291016
968,71.5529251098633,95.0459289550781,44.5049133300781,13.5406799316406,1183.66271972656,275.411071777344,1232.12341308594,674.570007324219,566.37548828125
970,96.3917846679688,96.2365112304688,73.7119216918945,-32.9445533752441,1232.40087890625,320.140441894531,1627.48266601563,865.041381835938,591.039855957031
972,110.172996520996,123.583297729492,63.4111022949219,2.95212125778198,1290.79467773438,343.059051513672,2082.72436523438,870.9931640625,731.646728515625
974,127.144165039063,127.918495178223,74.1748504638672,29.3273487091064,1336.00207519531,494.146789550781,2272.99438476563,942.500671386719,745.021240234375
976,138.355102539063,108.984901428223,77.1179122924805,153.227508544922,1322.24877929688,572.520080566406,2521.53369140625,822.785583496094,653.863403320313
978,132.99446105957,113.951049804688,85.1427993774414,186.603134155273,1372.10754394531,595.789794921875,2599.40258789063,736.830627441406,690.693725585938
980,159.152389526367,145.030868530273,85.5953979492188,268.428741455078,1345.59130859375,647.213562011719,2764.4443359375,700.035278320313,826.730102539063
982,157.41389465332,146.807144165039,83.741569519043,370.901336669922,1395.15649414063,773.783874511719,2968.70947265625,771.568786621094,931.103942871094
984,178.570404052734,142.030532836914,83.1275329589844,485.321166992188,1434.94189453125,993.214965820313,2884.14672851563,754.953918457031,975.597045898438
986,183.821670532227,143.723236083984,91.1721649169922,497.204528808594,1482.83044433594,1052.93115234375,2871.79321289063,736.484252929688,1040.41003417969
988,198.6748046875,144.125,82.3549041748047,511.904541015625,1616.82641601563,1204.80334472656,2584.53173828125,827.079284667969,1134.37231445313
990,198.065155029297,158.021697998047,61.0844688415527,604.270385742188,1728.83276367188,1267.96081542969,2345.11987304688,919.281372070313,1241.20324707031
992,177.594985961914,185.838592529297,64.4663925170898,621.73193359375,1752.43139648438,1230.6875,2053.9453125,1004.54364013672,1303.25695800781
994,180.132278442383,219.651214599609,69.1595611572266,556.196899414063,1860.4228515625,1320.07482910156,1467.11779785156,1120.62353515625,1456.12585449219
996,185.1640625,256.212646484375,70.1105270385742,553.099975585938,1954.54345703125,1405.91455078125,739.191223144531,1198.95812988281,1558.81506347656
998,185.975845336914,282.642181396484,81.3368148803711,598.438598632813,2078.19653320313,1511.03771972656,934.854125976563,1233.89831542969,1579.01196289063
1000,192.334091186523,294.408813476563,96.9870529174805,606.811279296875,2112.65380859375,1573.52966308594,1328.77380371094,1273.55944824219,1639.57788085938
1002,207.814849853516,306.850860595703,105.585166931152,635.17138671875,2308.1962890625,1589.31530761719,1696.38024902344,1357.08972167969,1684.83471679688
1004,225.284683227539,324.218994140625,100.006439208984,609.031494140625,2475.01440429688,1639.44519042969,2044.22900390625,1415.56518554688,1696.47924804688
1006,237.338729858398,332.679016113281,102.948043823242,542.156188964844,2549.94750976563,1698.28662109375,2194.64721679688,1440.46789550781,1753.40161132813
1008,242.16748046875,339.002960205078,110.093627929688,517.271118164063,2627.24194335938,1775.3896484375,2313.35961914063,1445.97131347656,1793.62121582031
1010,244.743148803711,358.122131347656,111.082229614258,528.756225585938,2748.02099609375,1791.60192871094,2336.53198242188,1441.02612304688,1819.04919433594
1012,251.042282104492,381.985809326172,112.674850463867,467.354705810547,2842.13720703125,1856.61999511719,2433.05737304688,1491.25866699219,1768.77905273438
1014,253.598022460938,405.932495117188,116.699447631836,430.304809570313,2941.8662109375,1942.45446777344,2645.38110351563,1535.87890625,1768.15808105469
1016,232.896987915039,431.443450927734,126.509017944336,449.896057128906,3054.15551757813,2024.07275390625,2825.2138671875,1507.36755371094,1795.50634765625
1018,220.483322143555,439.191467285156,130.616363525391,413.405853271484,3174.689453125,2040.15148925781,2842.96899414063,1580.79382324219,1820.48974609375
1020,204.675003051758,439.370635986328,132.804824829102,390.161682128906,3251.56298828125,2083.66479492188,2925.59301757813,1623.4853515625,1827.10107421875
1022,199.519821166992,450.049133300781,135.836059570313,327.402801513672,3314.8916015625,2164.54321289063,3281.28125,1686.14624023438,1823.40283203125
1024,186.955337524414,456.547454833984,145.380325317383,320.2333984375,3412.47143554688,2178.2373046875,3552.77954101563,1729.50378417969,1796.76586914063
1026,174.179595947266,457.025390625,151.441253662109,375.230773925781,3474.6865234375,2206.94750976563,3650.89184570313,1725.24890136719,1771.30187988281
1028,164.542633056641,454.294708251953,149.954132080078,397.524200439453,3534.1689453125,2284.76025390625,3506.46533203125,1705.84069824219,1732.84094238281
1030,158.024490356445,450.531280517578,151.894790649414,299.522796630859,3578.43798828125,2395.60913085938,3135.47387695313,1683.33569335938,1715.75415039063
1032,141.015808105469,451.39697265625,154.937622070313,274.366973876953,3570.32055664063,2458.65551757813,2834.77856445313,1705.96826171875,1716.06762695313
1034,131.830947875977,445.4970703125,166.624084472656,309.907775878906,3529.234375,2497.38671875,3471.380859375,1701.95300292969,1671.37182617188
1036,119.235321044922,449.230438232422,170.452423095703,286.16943359375,3581.087890625,2546.8212890625,3935.88256835938,1689.95385742188,1592.51452636719
1038,110.37971496582,455.362121582031,166.821182250977,282.419067382813,3634.46606445313,2684.68432617188,4027.75170898438,1688.67565917969,1507.52990722656
1040,101.587554931641,453.930572509766,167.767547607422,261.190124511719,3650.3056640625,2849.42504882813,3796.28784179688,1678.20776367188,1439.52453613281
1042,94.696907043457,457.054779052734,173.000045776367,223.626510620117,3681.49584960938,2894.51342773438,3235.1875,1649.95349121094,1373.17712402344
1044,87.8164901733398,461.246429443359,169.968444824219,257.403472900391,3678.17065429688,2944.2470703125,2847.30541992188,1598.46325683594,1335.7275390625
1046,78.3584899902344,468.205780029297,166.758102416992,276.177551269531,3647.818359375,3079.17602539063,3198.57348632813,1616.73889160156,1298.82995605469
1048,72.7165145874023,474.036376953125,169.615112304688,242.010101318359,3598.84985351563,3234.86499023438,3450.08447265625,1575.26647949219,1321.61547851563
1050,79.0866470336914,473.052612304688,180.013854980469,260.462982177734,3590.96606445313,3341.84619140625,3448.93139648438,1543.66455078125,1281.43444824219
1052,96.8168411254883,473.364288330078,179.822799682617,282.690643310547,3591.11669921875,3495.37573242188,3311.13916015625,1459.34655761719,1226.10949707031
1054,115.419731140137,467.688140869141,179.903900146484,321.323303222656,3602.01391601563,3676.3662109375,2803.3583984375,1410.16931152344,1184.06188964844
1056,134.412475585938,498.11083984375,184.472061157227,333.149139404297,3593.86206054688,3788.50073242188,2329.65747070313,1402.12622070313,1149.20947265625
1058,150.132720947266,509.584869384766,188.449172973633,279.829406738281,3598.03149414063,3874.08203125,2396.3642578125,1367.66259765625,1085.05712890625
1060,160.242660522461,487.900848388672,192.529891967773,203.549850463867,3583.78344726563,4016.85766601563,2600.78588867188,1318.55224609375,1065.04504394531
1062,165.443130493164,439.580352783203,202.989273071289,189.996292114258,3596.345703125,4124.20556640625,2248.23022460938,1350.73291015625,1002.48577880859
1064,173.345794677734,363.416900634766,208.224136352539,219.051956176758,3673.14965820313,4192.29736328125,1953.80981445313,1446.06066894531,961.812683105469
1066,167.451034545898,312.01611328125,203.625991821289,230.119644165039,3741.16918945313,4250.03857421875,2690.33837890625,1518.93127441406,883.864624023438
1068,163.673400878906,300.826751708984,199.854431152344,156.405151367188,3793.00927734375,4265.67578125,2924.18310546875,1592.822265625,820.662658691406
1070,155.546936035156,323.597595214844,199.091339111328,169.004516601563,3825.61010742188,4300.751953125,2614.22900390625,1584.95642089844,770.517639160156
1072,149.657958984375,348.818572998047,196.106063842773,188.009002685547,3823.73876953125,4393.35009765625,2411.6953125,1650.60314941406,769.783081054688
1074,151.419143676758,353.484313964844,192.843902587891,177.741317749023,3774.783203125,4438.01904296875,2449.4287109375,1721.02563476563,761.555847167969
1076,157.18522644043,353.292114257813,189.356628417969,151.981811523438,3683.2861328125,4437.61474609375,2464.00805664063,1754.68786621094,755.288696289063
1078,166.698608398438,342.702819824219,179.908172607422,173.109100341797,3565.44897460938,4396.3720703125,2401.54541015625,1747.86779785156,690.721557617188
1080,176.432098388672,321.617004394531,178.359161376953,172.897476196289,3449.94970703125,4323.22998046875,2424.748046875,1764.1962890625,639.710693359375
1082,178.54621887207,305.414520263672,169.077560424805,137.726287841797,3348.86352539063,4226.6171875,2339.22216796875,1792.16333007813,609.237060546875
1084,174.229187011719,287.321594238281,164.502304077148,135.911529541016,3236.73608398438,4127.84521484375,2337.64111328125,1829.20654296875,562.602111816406
1086,171.396423339844,261.589263916016,165.503311157227,122.379447937012,3095.80712890625,4022.27783203125,2171.580078125,1860.64099121094,534.258544921875
1088,169.077453613281,243.479797363281,158.920883178711,79.2537994384766,2994.4736328125,3922.7158203125,2017.568359375,1759.08422851563,592.721740722656
1090,173.605133056641,233.210525512695,150.178375244141,112.516014099121,2927.09765625,3786.0751953125,1828.87805175781,1711.40808105469,581.977600097656
1092,179.270370483398,225.611267089844,146.607009887695,62.1103057861328,2847.48779296875,3656.64013671875,1565.70104980469,1642.60302734375,543.414245605469
