X value [cm⁻¹],IR Spectrum 4/OPTIR (mV) [],IR Spectrum 5/OPTIR (mV) [],IR Spectrum 6/OPTIR (mV) [],IR Spectrum 7/OPTIR (mV) [],IR Spectrum 8/OPTIR (mV) [],IR Spectrum 9/OPTIR (mV) [],IR Spectrum 10/OPTIR (mV) [],IR Spectrum 2/OPTIR (mV) [],IR Spectrum 1/OPTIR (mV) []
940,52.7392921447754,26.0158920288086,31.6056461334229,75.9432678222656,81.6633758544922,31.2528247833252,45.1602973937988,45.997314453125,-6.99722957611084
942,47.250862121582,22.0293922424316,35.1357154846191,63.9978866577148,87.5301208496094,21.9437866210938,70.3880996704102,53.8428115844727,1.40296673774719
944,27.429328918457,-1.1849217414856,18.6092357635498,49.2445831298828,107.46231842041,33.6141929626465,66.9722061157227,26.6506500244141,9.4186487197876
946,34.9951515197754,-11.4995155334473,13.8886814117432,62.3902969360352,122.016395568848,22.8206329345703,64.8239898681641,15.4911642074585,10.6390790939331
948,34.7211799621582,6.35223770141602,4.22759771347046,72.680305480957,142.781951904297,9.52230358123779,58.7915267944336,25.5638885498047,9.17301082611084
950,52.5551834106445,17.0851554870605,-8.67118644714355,63.7349548339844,150.39030456543,25.1240921020508,50.137825012207,28.9028854370117,6.28170680999756
952,37.0754890441895,11.5289859771729,6.34786224365234,69.6391372680664,145.051910400391,45.5439910888672,46.8124847412109,26.6574535369873,0.0688013061881065
954,32.8771514892578,0.503896296024323,15.9239978790283,74.1193237304688,161.756698608398,43.8431358337402,58.5481300354004,26.7260398864746,2.09263062477112
956,35.0534057617188,-0.26083642244339,16.4627838134766,76.8724136352539,145.100204467773,43.0893020629883,70.16552734375,25.4343948364258,0.793979406356812
958,33.1930313110352,3.11979722976685,15.5316619873047,82.1506195068359,140.249694824219,46.7756729125977,78.294319152832,18.0450115203857,-1.0700364112854
960,30.6064376831055,14.4503202438354,6.98373174667358,82.9595336914063,140.252304077148,44.529369354248,84.70654296875,23.8227653503418,3.54331254959106
962,26.1977958679199,18.498441696167,3.91121554374695,89.5856170654297,151.492065429688,47.9842376708984,78.3402481079102,24.1025581359863,3.1786003112793
964,28.2997455596924,10.404125213623,10.5558891296387,96.8072967529297,154.044738769531,50.2800788879395,75.4726867675781,21.5531711578369,2.15245580673218
966,26.2713813781738,7.59646415710449,6.62861967086792,94.6233444213867,158.610305786133,52.8800773620605,88.080451965332,15.7941608428955,0.0706512182950974
968,26.9874382019043,4.03790950775146,10.0765571594238,100.574920654297,171.266510009766,56.7939453125,89.8210296630859,16.5194320678711,0.146918505430222
970,33.5647277832031,9.37845039367676,14.0012435913086,111.516868591309,177.571960449219,63.6924247741699,90.1792678833008,19.221155166626,1.90259325504303
