X value [cm⁻¹],IR Spectrum 24/OPTIR (mV) []
940,-55.917049407959
942,-40.7274513244629
944,9.21061897277832
946,80.2294616699219
948,96.8515319824219
950,75.5673217773438
952,104.70304107666
954,112.52318572998
956,94.968391418457
958,104.580490112305
960,107.420684814453
962,69.7676849365234
964,93.0492630004883
966,95.188591003418
968,103.749130249023
970,112.555000305176
972,106.058029174805
974,107.73462677002
976,119.558990478516
978,134.163299560547
980,141.109481811523
982,125.155464172363
984,119.482116699219
986,126.115997314453
988,135.956008911133
990,131.278701782227
992,131.267730712891
994,136.625946044922
996,140.538467407227
998,153.359085083008
1000,168.0732421875
1002,180.234558105469
1004,182.549087524414
1006,185.464324951172
1008,200.225479125977
1010,213.569274902344
1012,215.424560546875
1014,230.107177734375
1016,252.571578979492
1018,265.365600585938
1020,276.992950439453
1022,289.619476318359
1024,307.833374023438
1026,326.406982421875
1028,341.354675292969
1030,348.093658447266
1032,359.516143798828
1034,360.65576171875
1036,364.775451660156
1038,375.090606689453
1040,373.484741210938
1042,378.640869140625
1044,375.801727294922
1046,373.930450439453
1048,366.168395996094
1050,352.630401611328
1052,350.026611328125
1054,331.020263671875
1056,308.817413330078
1058,303.024963378906
1060,299.833923339844
1062,300.151306152344
1064,298.946136474609
1066,296.192016601563
1068,298.501800537109
1070,300.873596191406
1072,296.620513916016
1074,296.937194824219
1076,293.514587402344
1078,289.377532958984
1080,281.819915771484
1082,275.656799316406
1084,274.244567871094
1086,271.249908447266
1088,265.692993164063
1090,263.554626464844
1092,260.350494384766
1094,266.22705078125
1096,271.720306396484
1098,271.013061523438
1100,269.602355957031
1102,267.613403320313
1104,260.963806152344
1106,253.478530883789
1108,248.260131835938
1110,244.378753662109
1112,238.663345336914
1114,232.881790161133
1116,228.869171142578
1118,226.742401123047
1120,222.279495239258
1122,214.593276977539
1124,207.584396362305
1126,209.150863647461
1128,209.803573608398
1130,198.718368530273
1132,186.79833984375
1134,185.882339477539
1136,181.297912597656
1138,175.43440246582
1140,170.847534179688
1142,165.619979858398
1144,162.520767211914
1146,160.964569091797
1148,168.557067871094
1150,168.751693725586
1152,169.538024902344
1154,175.381240844727
1156,186.301605224609
1158,188.7919921875
1160,190.355285644531
1162,180.611663818359
1164,169.565216064453
1166,166.213439941406
1168,160.271423339844
1170,154.608871459961
1172,163.73388671875
1174,165.032958984375
1176,158.307144165039
1178,153.795761108398
1180,145.107604980469
1182,152.734741210938
1184,151.688034057617
1186,156.512313842773
1188,168.586380004883
1190,164.92253112793
1192,165.479476928711
1194,180.283172607422
1196,185.231536865234
1198,179.588714599609
1200,170.843643188477
1202,207.131240844727
1204,210.893692016602
1206,185.034393310547
1208,172.593856811523
1210,154.539733886719
1212,144.865692138672
1214,133.790649414063
1216,120.986534118652
1218,155.103713989258
1220,149.888092041016
1222,122.842361450195
1224,139.344268798828
1226,163.357894897461
1228,162.057647705078
1230,144.761901855469
1232,169.974258422852
1234,160.267532348633
1236,127.094093322754
1238,162.190048217773
1240,169.062896728516
1242,145.358032226563
1244,111.51008605957
1246,114.70149230957
1248,118.987976074219
1250,133.041305541992
1252,119.595390319824
1254,116.941551208496
1256,145.50260925293
1258,147.945770263672
1260,145.9111328125
1262,150.208480834961
1264,147.503723144531
1266,141.934051513672
1268,139.012130737305
1270,129.832626342773
1272,134.087738037109
1274,135.813583374023
1276,138.852600097656
1278,153.722320556641
1280,160.952117919922
1282,149.234741210938
1284,141.908203125
1286,144.713851928711
1288,146.929046630859
1290,147.032287597656
1292,154.8046875
1294,157.708053588867
1296,163.150451660156
1298,173.662261962891
1300,180.203369140625
1302,184.685317993164
1304,192.03059387207
1306,192.721908569336
1308,195.754791259766
1310,195.141448974609
1312,196.056579589844
1314,207.580627441406
1316,216.407821655273
1318,222.403198242188
1320,234.497253417969
1322,259.283538818359
1324,282.736785888672
1326,303.843170166016
1328,324.063568115234
1330,335.458801269531
1332,342.3681640625
1334,341.720642089844
1336,329.961517333984
1338,319.526550292969
1340,342.180297851563
1342,378.185638427734
1344,403.474822998047
1346,433.666381835938
1348,455.656707763672
1350,468.873779296875
1352,434.995880126953
1354,369.119476318359
1356,277.02490234375
1358,262.951690673828
1360,340.672607421875
1362,437.665313720703
1364,508.412811279297
1366,449.241241455078
1368,389.500335693359
1370,429.910552978516
1372,560.740112304688
1374,775.429626464844
1376,1046.85913085938
1378,1045.3349609375
1380,881.630676269531
1382,937.604125976563
1384,1048.72900390625
1386,976.838500976563
1388,807.924438476563
1390,721.458557128906
1392,843.266296386719
1394,1038.32934570313
1396,1170.38586425781
1398,1193.22485351563
1400,1359.88830566406
1402,1345.84228515625
1404,1287.00708007813
1406,1177.64270019531
1408,1021.50909423828
1410,746.32421875
1412,572.040405273438
1414,601.293518066406
1416,564.464172363281
1418,527.669128417969
1420,451.527801513672
1422,406.356475830078
1424,366.351531982422
1426,329.042236328125
1428,313.923797607422
1430,284.745330810547
1432,272.438934326172
1434,270.414672851563
1436,260.341888427734
1438,251.508773803711
1440,244.046569824219
1442,232.647689819336
1444,227.194946289063
1446,223.896789550781
1448,224.147583007813
1450,194.595840454102
1452,163.070846557617
1454,129.368118286133
1456,115.922065734863
1458,133.714874267578
1460,137.088684082031
1462,137.084091186523
1464,125.382919311523
1466,131.061172485352
1468,141.831680297852
1470,134.153747558594
1472,139.049942016602
1474,110.433738708496
1476,97.9067077636719
1478,91.5825500488281
1480,90.8278121948242
1482,79.0344696044922
1484,73.3778228759766
1486,71.3800811767578
1488,42.8060722351074
1490,24.2096786499023
1492,29.8607978820801
1494,50.7692756652832
1496,56.3046913146973
1498,56.7622756958008
1500,56.7448768615723
1502,43.3162879943848
1504,39.5816345214844
1506,32.9075736999512
1508,73.0944061279297
1510,55.116382598877
1512,51.9648361206055
1514,36.6208724975586
1516,39.7906227111816
1518,72.7146072387695
1520,126.633689880371
1522,116.812843322754
1524,120.689888000488
1526,105.167358398438
1528,135.129501342773
1530,152.009765625
1532,146.186157226563
1534,178.194412231445
1536,204.826721191406
1538,205.193359375
1540,179.320449829102
1542,188.365737915039
1544,206.515396118164
1546,218.730392456055
1548,216.270889282227
1550,224.163787841797
1552,221.710113525391
1554,217.159896850586
1556,205.478179931641
1558,180.980178833008
1560,234.582412719727
1562,233.558624267578
1564,228.677658081055
1566,260.436065673828
1568,248.158325195313
1570,376.237884521484
1572,675.194213867188
1574,829.94091796875
1576,986.748229980469
1578,1404.3916015625
1580,1822.00085449219
1582,1804.13671875
1584,1529.79028320313
1586,1425.61828613281
1588,1527.1875
1590,1340.27734375
1592,938.647827148438
1594,731.34619140625
1596,783.906555175781
1598,659.390319824219
1600,522.630920410156
1602,518.580078125
1604,529.308959960938
1606,497.979370117188
1608,455.988983154297
1610,429.919647216797
1612,404.829925537109
1614,378.64697265625
1616,349.150390625
1618,329.767608642578
1620,317.387268066406
1622,300.629943847656
1624,299.1298828125
1626,294.082336425781
1628,282.477783203125
1630,273.585662841797
1632,268.847534179688
1634,261.194091796875
1636,267.688934326172
1638,272.587463378906
1640,274.224792480469
1642,272.361419677734
1644,270.447265625
1646,275.266784667969
1648,287.462585449219
1650,292.994140625
1652,303.759338378906
1654,319.283020019531
1656,333.512634277344
1658,344.278106689453
1660,345.317962646484
1662,346.735443115234
1664,351.999908447266
1666,350.339141845703
1668,331.311920166016
1670,316.681121826172
1672,312.534576416016
1674,298.60302734375
1676,295.999816894531
1678,295.510711669922
1680,283.132720947266
1682,270.558044433594
1684,261.815795898438
1686,256.849090576172
1688,245.892730712891
1690,239.176712036133
1692,229.298675537109
1694,216.139434814453
1696,199.77409362793
1698,186.781860351563
1700,181.993103027344
1702,190.467971801758
1704,196.572402954102
1706,201.279586791992
1708,199.678497314453
1710,201.45263671875
1712,206.76123046875
1714,199.335494995117
1716,187.922775268555
1718,182.15315246582
1720,173.574752807617
1722,168.675079345703
1724,160.121246337891
1726,146.413162231445
1728,138.938385009766
1730,128.987442016602
1732,118.610794067383
1734,110.755966186523
1736,104.916534423828
1738,94.6621017456055
1740,78.9553375244141
1742,67.4721603393555
1744,61.4175071716309
1746,61.801097869873
1748,64.5828552246094
1750,58.5870704650879
1752,47.1558303833008
1754,49.8731155395508
1756,58.7057571411133
1758,55.5711555480957
1760,47.7941818237305
1762,49.8522491455078
1764,47.3273429870605
1766,49.9013214111328
1768,53.9911918640137
1770,55.4919471740723
1772,51.0134773254395
1774,41.7219696044922
1776,39.4526596069336
1778,35.2462730407715
1780,29.2200202941895
1782,33.1089401245117
1784,36.9031639099121
1786,32.9115867614746
1788,28.3239879608154
1790,20.7125301361084
1792,30.7527656555176
1794,21.2177219390869
1796,16.5706977844238
1798,31.6710643768311
2688,25.9014091491699
2690,15.7755222320557
2692,-6.63223123550415
2694,-26.1707611083984
2696,9.50434494018555
2698,7.09692525863647
2700,21.0440807342529
2702,11.8465728759766
2704,5.09878444671631
2706,15.1050624847412
2708,-0.367565780878067
2710,-0.0024278957862407
2712,11.4620504379272
2714,-5.64637994766235
2716,16.9233684539795
2718,20.1514759063721
2720,6.0022144317627
2722,14.6708726882935
2724,23.2585487365723
2726,18.2214508056641
2728,24.6422863006592
2730,28.9578762054443
2732,24.5895519256592
2734,25.7376041412354
2736,23.8508548736572
2738,18.5470905303955
2740,25.9007835388184
2742,27.2068824768066
2744,28.2586650848389
2746,36.9236869812012
2748,38.3725051879883
2750,30.1733779907227
2752,37.8921890258789
2754,46.8320465087891
2756,45.5826721191406
2758,35.5331649780273
2760,37.4278793334961
2762,36.0032730102539
2764,27.7732887268066
2766,20.7821960449219
2768,21.9715347290039
2770,15.5452108383179
2772,17.4748077392578
2774,26.4585628509521
2776,28.8715438842773
2778,30.6689147949219
2780,37.6794319152832
2782,44.7809219360352
2784,51.7192764282227
2786,52.3617324829102
2788,48.532844543457
2790,50.4414482116699
2792,60.5899925231934
2794,56.2177886962891
2796,53.270435333252
2798,60.9456558227539
2800,64.4294891357422
2802,61.0878753662109
2804,65.4599990844727
2806,75.2458724975586
2808,87.0616073608398
2810,96.324462890625
2812,102.651893615723
2814,111.490310668945
2816,118.610366821289
2818,130.568817138672
2820,136.994247436523
2822,140.891906738281
2824,143.760528564453
2826,160.32194519043
2828,175.264251708984
2830,190.278869628906
2832,202.977691650391
2834,221.148254394531
2836,235.439514160156
2838,263.65185546875
2840,294.940124511719
2842,321.577239990234
2844,359.506744384766
2846,401.820495605469
2848,441.153472900391
2850,470.454040527344
2852,499.842132568359
2854,523.367065429688
2856,530.70947265625
2858,522.652709960938
2860,513.728515625
2862,509.810089111328
2864,514.619567871094
2866,503.577911376953
2868,488.588104248047
2870,477.589447021484
2872,466.877105712891
2874,449.346527099609
2876,429.862823486328
2878,422.84326171875
2880,419.032104492188
2882,424.766967773438
2884,430.537139892578
2886,434.802124023438
2888,459.822296142578
2890,484.477081298828
2892,512.9560546875
2894,529.038146972656
2896,552.253173828125
2898,571.147338867188
2900,592.726135253906
2902,624.150634765625
2904,655.873107910156
2906,694.088989257813
2908,727.472717285156
2910,775.425170898438
2912,838.887939453125
2914,883.792541503906
2916,908.817932128906
2918,973.805786132813
2920,1025.23608398438
2922,1069.69763183594
2924,1111.02258300781
2926,1125.87023925781
2928,1139.2978515625
