X value [cm⁻¹],IR Spectrum 16/OPTIR (mV) []
940,70.3844375610352
942,17.1756000518799
944,18.5967292785645
946,-3.70721912384033
948,5.12141752243042
950,-57.0924377441406
952,20.0166454315186
954,20.2717361450195
956,-6.05396413803101
958,-1.7685980796814
960,-28.2152938842773
962,15.716495513916
964,15.1179962158203
966,37.3617935180664
968,39.3820762634277
970,10.5516519546509
972,2.38978099822998
974,3.2601215839386
976,24.8571395874023
978,31.0569877624512
980,10.2884311676025
982,2.7557201385498
984,2.6543185710907
986,18.9950389862061
988,29.4430751800537
990,24.0841941833496
992,19.3024883270264
994,20.9984931945801
996,32.820442199707
998,37.8888626098633
1000,31.9886054992676
1002,53.9742660522461
1004,69.6985626220703
1006,60.7860832214355
1008,61.1117057800293
1010,68.6577606201172
1012,83.5519638061523
1014,78.4592437744141
1016,105.78621673584
1018,128.59294128418
1020,146.141510009766
1022,161.932083129883
1024,192.276168823242
1026,207.645278930664
1028,217.994094848633
1030,232.165145874023
1032,234.54167175293
1034,228.423034667969
1036,231.558792114258
1038,240.337341308594
1040,234.238037109375
1042,232.494918823242
1044,225.437118530273
1046,218.082015991211
1048,207.747131347656
1050,183.08528137207
1052,160.557998657227
1054,125.294998168945
1056,100.605476379395
1058,95.292106628418
1060,74.2447814941406
1062,66.8146057128906
1064,65.5070114135742
1066,43.2141952514648
1068,29.1043949127197
1070,31.4587306976318
1072,30.9269866943359
1074,27.4912490844727
1076,20.3737869262695
1078,11.8505983352661
1080,20.3318386077881
1082,23.8201465606689
1084,19.3962059020996
1086,9.25621700286865
1088,13.6800689697266
1090,12.2815055847168
1092,20.7942790985107
1094,23.6566123962402
1096,22.2152061462402
1098,21.1166725158691
1100,19.8994293212891
1102,15.0371255874634
1104,17.6452903747559
1106,15.4074020385742
1108,15.9671926498413
1110,21.0394592285156
1112,25.1313533782959
1114,32.1351089477539
1116,32.7475662231445
1118,34.2823333740234
1120,35.689151763916
1122,38.3954124450684
1124,35.8569374084473
1126,42.0519371032715
1128,50.7900733947754
1130,47.9343528747559
1132,46.3662872314453
1134,46.155933380127
1136,55.0741691589355
1138,57.0467376708984
1140,54.7275199890137
1142,69.0764236450195
1144,72.8235168457031
1146,68.2420501708984
1148,78.1560745239258
1150,74.4652328491211
1152,67.2381820678711
1154,65.3736877441406
1156,81.0774078369141
1158,92.1208801269531
1160,79.1046142578125
1162,79.4245681762695
1164,87.5722503662109
1166,78.4866027832031
1168,69.3272476196289
1170,59.8588790893555
1172,49.8827514648438
1174,62.2857475280762
1176,48.7901954650879
1178,36.7486267089844
1180,25.8192844390869
1182,24.4857978820801
1184,20.7014217376709
1186,24.7853717803955
1188,7.15069580078125
1190,26.2007007598877
1192,36.170825958252
1194,33.9906692504883
1196,32.7181587219238
1198,12.804612159729
1200,16.7867050170898
1202,31.0429973602295
1204,4.30431270599365
1206,-40.270378112793
1208,-7.89214324951172
1210,25.5149173736572
1212,17.1279258728027
1214,7.52633142471313
1216,-3.5743134021759
1218,-40.6598701477051
1220,-23.7078990936279
1222,-24.0936126708984
1224,-20.096284866333
1226,-48.6728858947754
1228,49.6350173950195
1230,62.1426391601563
1232,38.8030014038086
1234,-11.8736505508423
1236,-9.12240219116211
1238,-4.3839111328125
1240,40.1895179748535
1242,28.8668518066406
1244,15.9887475967407
1246,-15.1722764968872
1248,-4.58986282348633
1250,-28.4631385803223
1252,-5.83816194534302
1254,23.6384201049805
1256,37.0161743164063
1258,29.3871669769287
1260,24.6677932739258
1262,32.0817260742188
1264,36.4042930603027
1266,52.5968589782715
1268,42.787727355957
1270,34.9785232543945
1272,44.1838226318359
1274,33.4966621398926
1276,12.860315322876
1278,14.1060619354248
1280,30.7401084899902
1282,36.613166809082
1284,33.5958023071289
1286,29.3131370544434
1288,39.0549812316895
1290,61.0561866760254
1292,56.3926391601563
1294,51.7558212280273
1296,50.9560813903809
1298,65.9971313476563
1300,77.1106872558594
1302,66.1464157104492
1304,59.2321510314941
1306,51.2180404663086
1308,45.2404899597168
1310,36.8108367919922
1312,26.4533634185791
1314,26.9255924224854
1316,27.3092212677002
1318,29.2878723144531
1320,29.090970993042
1322,21.2901859283447
1324,17.9171562194824
1326,22.1702575683594
1328,14.2230110168457
1330,12.3288793563843
1332,17.1708202362061
1334,12.2481088638306
1336,18.5763244628906
1338,28.8483657836914
1340,40.8182106018066
1342,34.0141983032227
1344,36.5946350097656
1346,35.7201347351074
1348,41.4581718444824
1350,49.6233749389648
1352,59.0457420349121
1354,66.7195663452148
1356,81.0262908935547
1358,95.2563781738281
1360,101.261054992676
1362,97.4874801635742
1364,94.7521438598633
1366,93.4870529174805
1368,92.7089614868164
1370,82.5707626342773
1372,76.1392669677734
1374,87.0929718017578
1376,90.0623931884766
1378,100.511154174805
1380,108.67790222168
1382,122.332077026367
1384,130.468505859375
1386,128.977890014648
1388,140.708892822266
1390,146.380783081055
1392,151.826049804688
1394,181.618438720703
1396,220.025543212891
1398,269.997436523438
1400,359.639190673828
1402,408.162811279297
1404,432.565826416016
1406,467.883697509766
1408,479.028411865234
1410,454.155548095703
1412,426.499206542969
1414,388.121429443359
1416,350.809417724609
1418,329.844024658203
1420,325.315093994141
1422,295.303558349609
1424,274.384887695313
1426,247.554000854492
1428,218.164916992188
1430,207.151962280273
1432,205.006484985352
1434,205.309020996094
1436,217.684219360352
1438,228.935180664063
1440,251.077239990234
1442,253.453598022461
1444,249.664093017578
1446,241.498413085938
1448,240.677429199219
1450,188.724731445313
1452,133.302978515625
1454,74.0527572631836
1456,51.1103324890137
1458,89.5624084472656
1460,92.0590591430664
1462,89.5713424682617
1464,83.8862686157227
1466,103.858139038086
1468,120.319793701172
1470,104.848358154297
1472,83.648193359375
1474,44.41162109375
1476,49.7214698791504
1478,68.6449966430664
1480,54.3946304321289
1482,48.5425033569336
1484,54.1995086669922
1486,49.0058059692383
1488,28.8931331634521
1490,8.63628959655762
1492,10.6905927658081
1494,27.5708065032959
1496,39.0361442565918
1498,23.2133178710938
1500,24.2226905822754
1502,33.3096580505371
1504,39.5523262023926
1506,19.7592887878418
1508,39.7311134338379
1510,44.6270408630371
1512,41.8251190185547
1514,95.47265625
1516,98.8233337402344
1518,103.28426361084
1520,113.270072937012
1522,161.682205200195
1524,188.852233886719
1526,199.999496459961
1528,218.900833129883
1530,256.774749755859
1532,291.872802734375
1534,289.981170654297
1536,286.390960693359
1538,275.394134521484
1540,286.324798583984
1542,323.23974609375
1544,351.272735595703
1546,378.626831054688
1548,362.559631347656
1550,380.313751220703
1552,397.915344238281
1554,397.399566650391
1556,386.223052978516
1558,391.660064697266
1560,508.093902587891
1562,477.100036621094
1564,449.861236572266
1566,472.981689453125
1568,475.084411621094
1570,543.588500976563
1572,589.9912109375
1574,585.981262207031
1576,658.757446289063
1578,783.853515625
1580,830.052062988281
1582,829.385437011719
1584,780.838989257813
1586,726.425048828125
1588,635.19775390625
1590,552.746704101563
1592,463.834747314453
1594,387.875366210938
1596,331.777465820313
1598,290.373046875
1600,246.374038696289
1602,203.624114990234
1604,174.198822021484
1606,154.440811157227
1608,142.583923339844
1610,135.497375488281
1612,137.415328979492
1614,134.690979003906
1616,141.409164428711
1618,155.467178344727
1620,144.830673217773
1622,149.314254760742
1624,158.208282470703
1626,152.092956542969
1628,155.015274047852
1630,159.215972900391
1632,156.280090332031
1634,160.47868347168
1636,171.420654296875
1638,178.052368164063
1640,177.048233032227
1642,166.236282348633
1644,160.219818115234
1646,168.2001953125
1648,182.633880615234
1650,182.705947875977
1652,194.495651245117
1654,237.303131103516
1656,211.73762512207
1658,198.121505737305
1660,193.013107299805
1662,199.336578369141
1664,206.546691894531
1666,198.297836303711
1668,193.459396362305
1670,213.731674194336
1672,208.634552001953
1674,192.27458190918
1676,196.036529541016
1678,182.026473999023
1680,175.249954223633
1682,163.073532104492
1684,157.39875793457
1686,165.3701171875
1688,158.22998046875
1690,153.11669921875
1692,146.769638061523
1694,135.521270751953
1696,142.694946289063
1698,135.538192749023
1700,115.24267578125
1702,131.292053222656
1704,134.220596313477
1706,121.167770385742
1708,128.726211547852
1710,119.262893676758
1712,105.643394470215
1714,97.0922317504883
1716,89.888069152832
1718,95.7410659790039
1720,92.7923278808594
1722,87.6723480224609
1724,78.6823272705078
1726,78.3895111083984
1728,68.4430465698242
1730,64.7766723632813
1732,59.2361602783203
1734,58.4645919799805
1736,66.6294326782227
1738,59.1476173400879
1740,50.1351623535156
1742,46.2200546264648
