"Wavenumber (cm-1)",FT,FT,FT,UV-FT,UV-FT,UV-FT,UV,UV,UV,H,H,H,C,C,C,"Reference AF Paint","Reference AF Paint","Reference AF Paint"
1016,0.195,0.144,0.203,0.49077221686949,0.21609106954873,0.35434818953505,0.401,0.353,0.411,0.391,0.370,0.343,0.192,0.846,0.308,0.356,,
1018,0.200,0.144,0.208,0.50168056205069,0.22873863630212,0.36296428673487,0.421,0.349,0.425,0.399,0.380,0.354,0.192,0.856,0.319,0.361,,
1020,0.208,0.146,0.211,0.51252181769731,0.23868344042677,0.37514995868233,0.437,0.345,0.441,0.403,0.382,0.360,0.191,0.867,0.322,0.373,,
1022,0.215,0.150,0.214,0.52582537923544,0.25133490052624,0.38173453996829,0.450,0.341,0.452,0.409,0.384,0.364,0.191,0.891,0.328,0.381,,
1024,0.221,0.153,0.215,0.53790082588736,0.26296240927026,0.38518217640374,0.469,0.337,0.460,0.410,0.389,0.371,0.192,0.911,0.333,0.381,,
1026,0.223,0.157,0.218,0.55401662604140,0.27498272343911,0.38837102192365,0.482,0.338,0.470,0.415,0.393,0.377,0.192,0.921,0.340,0.376,,
1028,0.224,0.160,0.224,0.56241205302750,0.28795974579493,0.38528713876800,0.499,0.345,0.480,0.417,0.396,0.379,0.194,0.918,0.347,0.380,,
1030,0.228,0.161,0.226,0.57112216905653,0.29914225138911,0.38557902960689,0.511,0.349,0.486,0.418,0.404,0.378,0.193,0.901,0.352,0.388,,
1032,0.234,0.163,0.228,0.58734267560449,0.30977304782593,0.39051966969021,0.521,0.350,0.493,0.420,0.408,0.380,0.194,0.888,0.353,0.386,,
1034,0.237,0.162,0.232,0.59576554472903,0.31568269246702,0.39216486525767,0.538,0.357,0.506,0.418,0.413,0.380,0.191,0.918,0.351,0.382,,
1036,0.239,0.162,0.233,0.60701142912506,0.32428864218962,0.39402637452004,0.552,0.367,0.516,0.419,0.418,0.377,0.191,0.940,0.353,0.380,,
1038,0.240,0.166,0.234,0.62333935134030,0.33451962753907,0.39706135585123,0.563,0.372,0.524,0.417,0.425,0.376,0.188,0.949,0.353,0.396,,
1040,0.239,0.163,0.233,0.63356254076967,0.33627509049915,0.39562204751609,0.558,0.375,0.518,0.414,0.428,0.374,0.186,0.941,0.353,0.395,,
1042,0.237,0.156,0.234,0.64003922319513,0.33326935933785,0.38907834969435,0.558,0.380,0.517,0.410,0.429,0.370,0.187,0.911,0.350,0.401,,
1044,0.237,0.154,0.232,0.65345302535672,0.33401677377599,0.38815677827672,0.552,0.383,0.517,0.400,0.431,0.362,0.181,0.891,0.347,0.390,,
1046,0.237,0.151,0.230,0.65804463870476,0.33414162178217,0.38639849480494,0.544,0.382,0.505,0.391,0.433,0.351,0.179,0.913,0.342,0.388,,
