Weeks,HC,HC,HC,FT,FT,FT,UV-FT,UV-FT,UV-FT,CC,CC,CC,UV,UV,UV
0,0.002029860,0.002029860,0.002029860,0.002029860,0.002029860,0.002029860,0.002029860,0.002029860,0.002029860,5.820060620,3.942440680,1.230268000,-0.08453740,1.19556467,0.59571304
2,64.979137800,68.316014300,82.491106900,17.408895500,11.476756500,19.617235900,268.700742000,286.827836000,224.161647000,12.509128800,11.783303400,10.189644300,176.64249300,155.98496900,171.27953600
4,139.016956000,66.020170700,131.536563000,16.639284400,20.441580600,93.495484500,2985.009500000,1043.408700000,2533.217610000,0.020239040,0.020239040,0.020239040,493.16990500,232.15424200,265.17124300
6,161.162583000,243.831733000,140.496357000,150.914255000,226.762827000,420.129258000,7556.919760000,5123.497540000,7903.177560000,7.970425310,8.696937260,12.524097500,230.45066400,282.36885400,292.07109400
