Weeks,HC,HC,HC,FT,FT,FT,UV-FT,UV-FT,UV-FT,CC,CC,CC,UV,UV,UV
0,0.56605983,0.27837390,0.32906319,0.000898014,0.000898014,0.084486550,0.000898014,0.000898014,0.000898014,0.10958494,0.02800597,0.12622042,0.000898014,0.000898014,0.000898014
2,3.64549344,5.38556555,9.74902491,2.344067140,7.574061220,2.262637560,29.921392900,21.789594300,15.895006000,4.14794162,1.44075674,4.18674557,26.631624500,23.578612200,44.196692700
4,133.48729900,5.47951712,1.07357013,6.394894330,6.422230770,9.362337470,61.446513200,47.699659300,51.959871300,12.05867130,10.67540590,7.81229233,54.625793900,49.839676200,51.660108000
6,14.80037320,11.71752260,8.86542352,9.157449830,11.826211000,16.359451700,133.664123000,123.203233000,535.059699000,10.77327360,14.85239130,19.04679620,59.699770900,62.452831500,64.823384500
