Weeks,HC,HC,HC,FT,FT,FT,UV-FT,UV-FT,UV-FT,CC,CC,CC,UV,UV,UV
0,0.002029861,0.002029861,0.002029861,124.86201500,-2.91695380,56.40926040,1.45235990,2.19614314,11.80516800,0.89332775,0.65166115,1.26336023,1.24519473,0.64505319,0.62544254
2,378.796172000,454.076921000,459.006957000,56.37376160,87.20750680,66.00304760,1262.19768000,1351.70140000,1162.51977000,39.46694250,59.25835170,68.15777520,1064.97116000,1238.29792000,995.50007900
4,972.555490000,904.974428000,523.374373000,102.17055200,104.34482000,117.79740200,2095.01049000,1896.58237000,1717.46690000,69.80419900,89.10092950,44.33326340,2067.94111000,1964.14068000,1980.10154000
6,1597.856730000,1075.816380000,1043.244030000,152.16326800,158.24262500,224.75413900,2701.46207000,2503.75741000,2303.02014000,53.76600200,122.30764500,99.34099840,2424.71886000,2382.42116000,2297.23806000
