Weeks,HC,HC,HC,FT,FT,FT,UV-FT,UV-FT,UV-FT,CC,CC,CC,UV,UV,UV
0,0.00496226,0.00496226,0.00496226,0.00100000,0.00100000,0.00100000,-0.08713020,4.61346455,-0.04035640,13.76328050,32.84532750,-0.04473090,0.00100000,0.00100000,0.00100000
2,50.26411660,50.62907340,54.91819760,19.56759500,7.68265271,30.38189560,151.04811900,108.88084700,208.17280700,6.47612814,8.06380116,3.99383260,9.45637136,7.25492212,7.21384354
4,14.18846170,1.05201049,3.73023397,94.14007280,84.52754500,197.90404500,7808.16834000,2002.89500000,6852.82553000,10.07027410,9.14499397,8.79381774,20.81309840,18.65761710,22.96052930
6,21.64347350,10.90219410,12.86161600,43.45797040,51.08817920,173.55131500,20213.76900000,14418.56630000,15953.74540000,20.73705470,9.28967530,9.53708972,22.15902720,15.33516440,20.77710820
