"Wavenumber (cm-1)",FT,FT,FT,UV-FT,UV-FT,UV-FT,UV,UV,UV,H,H,H,C,C,C,"Reference AF Paint","Reference AF Paint","Reference AF Paint"
935,0.02670899587206,0.03267069969240,0.04000797242114,0.28480899082336,0.06946653190999,0.12433739688659,0.31608487141373,0.10600778377109,0.17648739011376,0.03728787072337,0.05725950831317,0.01995699028113,0.00825014432841,0.04860961037892,0.04031582986460,0.127,,
937,0.02953073724372,0.02900387695812,0.04084671281112,0.29181715099186,0.09650079337049,0.07958097533530,0.32792621422508,0.10035207856959,0.24658660592315,0.04071026478488,0.06008682612228,0.02454867040067,0.01255428446440,0.05583443903272,0.03785974112149,0.123,,
939,0.02919308808446,0.02783294991116,0.04157202507315,0.31440617493068,0.08500364704734,0.10489999994290,0.33909326277817,0.10897862481033,0.27482402159893,0.05010941244515,0.06551105106957,0.02472162237783,0.01991383894391,0.05968220350503,0.03281383671183,0.148,,
941,0.03602170706776,0.03091052078683,0.04830478337695,0.33868853423072,0.10965472314332,0.13431034526191,0.34181204558974,0.12805437227106,0.27663660984316,0.05665211531531,0.06614528846930,0.02868801708216,0.02324410975923,0.06180111909531,0.03668295639838,0.154,,
943,0.04747557111829,0.03821384664023,0.04942420504022,0.36466479321117,0.10768967045501,0.16183864756702,0.36670885979972,0.13465859603613,0.29465663890967,0.06578118547508,0.06798864619696,0.03250358249515,0.03118394173022,0.06720457278538,0.04177929184000,0.165,,
945,0.05417796300578,0.04483374142701,0.04946987463289,0.37596208475735,0.11109035929558,0.19847449513567,0.36761179167330,0.14345643535135,0.29666820254274,0.06762556585260,0.07395109470572,0.03221315788175,0.03180436466521,0.07132624974919,0.04340876222270,0.183,,
947,0.05289766928948,0.04778619327161,0.05250691953599,0.37397555801116,0.13063055420037,0.20507579859009,0.37287208023540,0.16266764152697,0.31107061098804,0.06852047945078,0.08376111054235,0.03334082783097,0.03481819145440,0.07219111198654,0.04751256454517,0.176,,
949,0.05542636000517,0.05449204597392,0.05574530577682,0.38020574809373,0.17272791885342,0.20078425623010,0.37460461787497,0.17715354012587,0.33434203328936,0.06786011251559,0.08762397094574,0.03509430013036,0.03678277917996,0.07358641261101,0.05040197532110,0.188,,
951,0.05828396917877,0.05295127694399,0.05632059118381,0.38647098664133,0.20378189129522,0.21531267213901,0.36889552402614,0.19892673810601,0.33027354422402,0.07042920652007,0.09151305913522,0.03476461399038,0.03935789067370,0.07664859326552,0.05110920767084,0.189,,
953,0.06040992647236,0.05321235844590,0.05863894540016,0.39532768392000,0.21083614349029,0.21602730812191,0.35488098114206,0.20818923857861,0.33687183139867,0.07357004372516,0.09308342281805,0.03585509048012,0.04071124146180,0.08000297295207,0.04987774238911,0.191,,
