# SPCal Export 1.2.4
# Date,Mon Jun 24 22:13:16 2024
# File,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Nano\RawData\Guadalupe RawData\2024-05-28_Cu_AF_paint\4-10_2.csv
# Acquisition events,499999
#
# Options and inputs,Cu,
# Density,8.92,g/cm3
# Dwelltime,0.1,ms
# Efficiency,0.0041561106,
# Mass fraction,1,
# Molar mass,63.546,g/mol
# Response,2.412,counts/(μg/L)
# Time,49.9999,s
# Uptake,0.212,ml/min
#
# Limit method,Poisson (alpha=0.001)
#
# Detection results,Cu,
# Particle number,1753
# Number error,41.868843
# Number concentration,2.3874873e+09,#/L
# Mass concentration,0.21450778,μg/L
#
# Background,8.3228073,counts
#,10.275436,nm
# Background error,3.9424829,counts
# Ionic background,3.4505835,μg/L
#
# Mean,Cu,
#,147.57323,counts
#,8.984667e-11,μg
#,25.133981,nm
#,8.014323e-16,m³
# Median,Cu,
#,101.84182,counts
#,6.2004121e-11,μg
#,23.6784,nm
#,5.5307676e-16,m³
# Limits of detection,Cu,
#,19.141668,counts
#,1.1653978e-11,μg
#,13.563452,nm
#,1.0395348e-16,m³
#
# Peak composition,count,Cu,,error
# Raw detection data
Time,Cu,,Cu,,Cu,,Cu,,cluster idx,cluster idx,cluster idx
s,counts,μg,nm,m³,signal,mass,size
1.558,103.41682,6.2963028e-11,23.79984,5.6163021e-16,1,1,1
1.5718,860.70453,5.2402076e-10,48.23123,4.6742652e-15,1,1,1
1.58275,91.558487,5.5743343e-11,22.852998,4.9723062e-16,1,1,1
1.60645,101.70851,6.1922959e-11,23.668064,5.523528e-16,1,1,1
1.7092,66.700119,4.060888e-11,20.56297,3.6223121e-16,1,1,1
1.76455,173.12534,1.054035e-10,28.25946,9.4019923e-16,1,1,1
1.81005,66.275108,4.0350122e-11,20.519202,3.5992309e-16,1,1,1
1.8717,100.13348,6.0964034e-11,23.545256,5.4379919e-16,1,1,1
1.8775,82.700134,5.0350133e-11,22.090848,4.4912319e-16,1,1,1
1.88225,657.69446,4.0042261e-10,44.094562,3.5717697e-15,1,1,1
1.95935,113.99185,6.9401397e-11,24.584889,6.1906047e-16,1,1,1
1.9746,102.13348,6.218169e-11,23.700982,5.5466067e-16,1,1,1
2.0396,77.850121,4.739731e-11,21.650274,4.2278401e-16,1,1,1
2.0527,265.4173,1.615934e-10,32.585174,1.4414132e-15,1,1,1
2.07655,77.991791,4.7483563e-11,21.663399,4.2355338e-16,1,1,1
2.0996,258.13394,1.571591e-10,32.284348,1.4018591e-15,1,1,1
2.1738,60.850094,3.7047223e-11,19.943317,3.3046123e-16,1,1,1
2.238,162.85034,9.91478e-11,27.688953,8.8439837e-16,1,1,1
2.24415,63.708427,3.8787456e-11,20.25082,3.459841e-16,1,1,1
2.2507,163.9836,9.9837757e-11,27.753033,8.9055279e-16,1,1,1
