# SPCal Export 1.2.4
# Date,Mon Jun 24 22:13:17 2024
# File,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Nano\RawData\Guadalupe RawData\2024-05-28_Cu_AF_paint\4-10_3.csv
# Acquisition events,499999
#
# Options and inputs,Cu,
# Density,8.92,g/cm3
# Dwelltime,0.1,ms
# Efficiency,0.0041561106,
# Mass fraction,1,
# Molar mass,63.546,g/mol
# Response,2.412,counts/(μg/L)
# Time,49.9999,s
# Uptake,0.212,ml/min
#
# Limit method,Poisson (alpha=0.001)
#
# Detection results,Cu,
# Particle number,1651
# Number error,40.632499
# Number concentration,2.248569e+09,#/L
# Mass concentration,0.20885295,μg/L
#
# Background,8.7797155,counts
#,10.460131,nm
# Background error,4.0933371,counts
# Ionic background,3.6400147,μg/L
#
# Mean,Cu,
#,152.55975,counts
#,9.2882603e-11,μg
#,25.473549,nm
#,8.2851282e-16,m³
# Median,Cu,
#,107.30342,counts
#,6.5329295e-11,μg
#,24.094329,nm
#,5.8273732e-16,m³
# Limits of detection,Cu,
#,19.700362,counts
#,1.1994126e-11,μg
#,13.694149,nm
#,1.0698761e-16,m³
#
# Peak composition,count,Cu,,error
# Raw detection data
Time,Cu,,Cu,,Cu,,Cu,,cluster idx,cluster idx,cluster idx
s,counts,μg,nm,m³,signal,mass,size
0.01825,168.30356,1.0246787e-10,27.994631,9.1401339e-16,1,1,1
0.0247,106.60304,6.4902886e-11,24.041792,5.7893374e-16,1,1,1
0.122,187.00751,1.1385535e-10,28.995459,1.0155897e-15,1,1,1
0.1703,109.20238,6.6485437e-11,24.235632,5.930501e-16,1,1,1
0.25425,294.70471,1.7942439e-10,33.742144,1.6004656e-15,1,1,1
0.2863,130.00381,7.9149924e-11,25.685953,7.0601732e-16,1,1,1
0.30535,61.501904,3.7444063e-11,20.014273,3.3400104e-16,1,1,1
0.32985,201.10509,1.2243835e-10,29.706489,1.0921501e-15,1,1,1
0.3548,102.60306,6.2467584e-11,23.73725,5.5721085e-16,1,1,1
0.40405,126.90275,7.7261909e-11,25.480072,6.8917623e-16,1,1,1
0.4442,60.202263,3.6652806e-11,19.87229,3.2694303e-16,1,1,1
0.4756,75.202286,4.5785235e-11,21.401982,4.084043e-16,1,1,1
0.5013,103.00379,6.2711562e-11,23.768114,5.5938713e-16,1,1,1
0.52835,114.10487,6.9470208e-11,24.593011,6.1967426e-16,1,1,1
0.6148,61.602989,3.7505606e-11,20.025233,3.3455001e-16,1,1,1
0.7112,62.602997,3.8114439e-11,20.133009,3.3998079e-16,1,1,1
0.7813,155.2025,9.4491581e-11,27.248539,8.4286491e-16,1,1,1
0.7983,131.40453,8.0002716e-11,25.777873,7.1362422e-16,1,1,1
0.85385,150.90285,9.1873834e-11,26.994552,8.195146e-16,1,1,1
0.86515,119.30344,7.2635242e-11,24.960961,6.4790636e-16,1,1,1
0.97635,64.902626,3.9514517e-11,20.376569,3.5246949e-16,1,1,1
1.0256,193.40466,1.1775012e-10,29.322385,1.050331e-15,1,1,1
1.04075,61.501904,3.7444063e-11,20.014273,3.3400104e-16,1,1,1
1.0504,84.603012,5.1508658e-11,22.258997,4.5945723e-16,1,1,1
1.1929,143.20601,8.7187786e-11,26.527565,7.7771505e-16,1,1,1
1.2345,168.20258,1.0240639e-10,27.989031,9.1346498e-16,1,1,1
1.2876,168.60327,1.0265034e-10,28.011238,9.1564106e-16,1,1,1
1.29885,302.90338,1.8441597e-10,34.052188,1.6449905e-15,1,1,1
1.3,218.40474,1.3297086e-10,30.534982,1.1861e-15,1,1,1
1.38175,116.90273,7.1173622e-11,24.792398,6.3486871e-16,1,1,1
1.38675,215.30373,1.3108287e-10,30.389776,1.1692592e-15,1,1,1
1.5778,104.6031,6.3685267e-11,23.890496,5.6807259e-16,1,1,1
1.60615,391.70517,2.3848096e-10,37.099103,2.1272502e-15,1,1,1
1.64975,72.501923,4.4141179e-11,21.142686,3.9373932e-16,1,1,1
1.65805,55.704079,3.3914186e-11,19.364486,3.0251454e-16,1,1,1
1.74345,123.10489,7.4949667e-11,25.22331,6.6855103e-16,1,1,1
1.7698,128.60309,7.8297123e-11,25.593368,6.9841034e-16,1,1,1
1.85505,58.902622,3.5861548e-11,19.728248,3.1988501e-16,1,1,1
1.881,69.602997,4.2376233e-11,20.857054,3.77996e-16,1,1,1
1.96875,220.90646,1.3449398e-10,30.651127,1.1996863e-15,1,1,1
1.9943,130.40454,7.9393897e-11,25.712317,7.0819356e-16,1,1,1
2.05135,70.902641,4.3167492e-11,20.98607,3.8505403e-16,1,1,1
2.0613,62.202259,3.7870459e-11,20.089958,3.3780449e-16,1,1,1
2.11615,69.902641,4.2558665e-11,20.886941,3.7962329e-16,1,1,1
2.24875,84.704117,5.1570213e-11,22.26786,4.600063e-16,1,1,1
2.2551,89.202316,5.4308841e-11,22.655258,4.8443487e-16,1,1,1
2.2588,84.003738,5.1143803e-11,22.206316,4.5620272e-16,1,1,1
2.26645,67.501915,4.1097036e-11,20.645037,3.6658556e-16,1,1,1
2.36245,86.501953,5.2664786e-11,22.424303,4.6976989e-16,1,1,1
2.385,155.00389,9.4370663e-11,27.23691,8.4178632e-16,1,1,1
2.4038,117.60309,7.1600018e-11,24.841809,6.3867216e-16,1,1,1
2.45095,181.90292,1.1074754e-10,28.7292,9.8786805e-16,1,1,1
2.48295,88.704117,5.4005524e-11,22.613003,4.8172927e-16,1,1,1
2.5497,384.00494,2.3379285e-10,36.854392,2.0854322e-15,1,1,1
2.56155,67.902641,4.1341009e-11,20.68581,3.687618e-16,1,1,1
2.6264,90.202324,5.4917674e-11,22.739603,4.8986565e-16,1,1,1
2.6493,161.00749,9.8025822e-11,27.584112,8.7439033e-16,1,1,1
2.6511,384.40555,2.3403675e-10,36.867203,2.0876078e-15,1,1,1
2.6789,125.20241,7.6226695e-11,25.365759,6.7994212e-16,1,1,1
2.6896,77.202293,4.7002895e-11,21.590053,4.1926582e-16,1,1,1
2.695,71.202286,4.3349924e-11,21.015592,3.8668132e-16,1,1,1
2.7917,236.60692,1.4405285e-10,31.360727,1.2849514e-15,1,1,1
2.8242,124.40452,7.5740917e-11,25.311761,6.7560898e-16,1,1,1
2.843,73.603004,4.4811548e-11,21.249179,3.9971901e-16,1,1,1
2.8481,105.20236,6.4050113e-11,23.936031,5.71327e-16,1,1,1
2.9428,302.60385,1.8423361e-10,34.04096,1.6433638e-15,1,1,1
3.0021,229.00412,1.3942405e-10,31.021163,1.2436625e-15,1,1,1
3.05485,102.70412,6.2529116e-11,23.745042,5.5775972e-16,1,1,1
3.14705,960.31067,5.8466374e-10,50.024286,5.2152006e-15,1,1,1
3.2532,95.603043,5.8205781e-11,23.184668,5.1919557e-16,1,1,1
3.29595,39.501873,2.4049835e-11,17.268298,2.1452453e-16,1,1,1
3.30205,139.90637,8.5178875e-11,26.322238,7.5979557e-16,1,1,1
3.32315,49.501884,3.0138119e-11,18.617337,2.6883202e-16,1,1,1
3.3375,107.00378,6.5146868e-11,24.071881,5.8111007e-16,1,1,1
3.3523,61.602993,3.7505609e-11,20.025233,3.3455003e-16,1,1,1
3.4581,435.00543,2.6484336e-10,38.41863,2.3624028e-15,1,1,1
3.4683,105.60307,6.4294077e-11,23.966383,5.7350316e-16,1,1,1
3.512,67.602997,4.1158577e-11,20.655337,3.6713451e-16,1,1,1
3.5201,94.202347,5.7352999e-11,23.070883,5.1158875e-16,1,1,1
3.5535,401.6044,2.4450789e-10,37.409031,2.1810103e-15,1,1,1
3.5808,82.60302,5.0291007e-11,22.082197,4.4859578e-16,1,1,1
3.60695,113.90273,6.9347139e-11,24.57848,6.1857648e-16,1,1,1
3.6177,64.003716,3.8967235e-11,20.282059,3.4758774e-16,1,1,1
3.6215,86.202309,5.2482354e-11,22.39838,4.6814259e-16,1,1,1
3.6248,68.202278,4.1523436e-11,20.716192,3.7038905e-16,1,1,1
3.6858,86.202309,5.2482354e-11,22.39838,4.6814259e-16,1,1,1
3.7331,170.00391,1.0350309e-10,28.08859,9.2324754e-16,1,1,1
3.8351,122.00378,7.4279284e-11,25.147882,6.6257121e-16,1,1,1
3.882,144.80528,8.8161468e-11,26.62595,7.8640029e-16,1,1,1
3.89735,61.501896,3.7444058e-11,20.014273,3.34001e-16,1,1,1
3.9147,266.20627,1.6207375e-10,32.61743,1.4456979e-15,1,1,1
3.91795,68.902634,4.1949832e-11,20.786861,3.741925e-16,1,1,1
3.9309,168.60324,1.0265032e-10,28.011237,9.1564089e-16,1,1,1
3.93345,65.30336,3.9758495e-11,20.418421,3.5464577e-16,1,1,1
3.9471,128.00381,7.7932269e-11,25.553552,6.9515584e-16,1,1,1
3.9704,62.202274,3.7870468e-11,20.08996,3.3780457e-16,1,1,1
4.02275,97.704117,5.9484973e-11,23.353282,5.3060596e-16,1,1,1
4.03515,69.902649,4.2558669e-11,20.886942,3.7962333e-16,1,1,1
4.04565,122.70416,7.4705694e-11,25.195912,6.6637479e-16,1,1,1
4.0613,69.202271,4.2132259e-11,20.81695,3.7581975e-16,1,1,1
4.0643,57.202259,3.482632e-11,19.536557,3.1065078e-16,1,1,1
4.104,111.60308,6.7947047e-11,24.411944,6.0608766e-16,1,1,1
4.12165,257.30377,1.5665366e-10,32.249701,1.3973507e-15,1,1,1
4.12335,92.902687,5.656173e-11,22.964292,5.0453063e-16,1,1,1
4.12805,118.30345,7.2026419e-11,24.891025,6.4247566e-16,1,1,1
4.13525,170.10495,1.0356461e-10,28.094154,9.2379629e-16,1,1,1
4.1508,205.40468,1.2505606e-10,29.916705,1.1155e-15,1,1,1
4.20005,76.704109,4.6699587e-11,21.543513,4.1656031e-16,1,1,1
4.23865,119.30347,7.2635256e-11,24.960963,6.4790648e-16,1,1,1
4.24155,80.50193,4.9011805e-11,21.893359,4.371853e-16,1,1,1
4.25545,573.7063,3.4928829e-10,42.131493,3.1156515e-15,1,1,1
4.2691,56.801533,3.4582347e-11,19.49083,3.0847453e-16,1,1,1
4.2749,98.202332,5.97883e-11,23.39291,5.3331164e-16,1,1,1
4.29575,1599.7069,9.7394589e-10,59.300331,8.6875973e-15,1,1,1
4.3322,76.603012,4.6638036e-11,21.534044,4.1601128e-16,1,1,1
4.3888,106.80524,6.5025987e-11,24.056983,5.8003181e-16,1,1,1
4.4012,163.60321,9.9606167e-11,27.731557,8.8848701e-16,1,1,1
4.4151,69.202278,4.2132264e-11,20.81695,3.758198e-16,1,1,1
4.48235,280.30396,1.7065681e-10,33.183337,1.5222588e-15,1,1,1
4.6759,474.00531,2.8858756e-10,39.534057,2.5742011e-15,1,1,1
4.7037,48.202244,2.9346861e-11,18.452961,2.61774e-16,1,1,1
4.73025,173.90291,1.0587691e-10,28.301704,9.4442202e-16,1,1,1
4.7398,192.80536,1.1738524e-10,29.292066,1.0470764e-15,1,1,1
4.77465,49.501888,3.0138121e-11,18.617337,2.6883204e-16,1,1,1
4.7769,127.6031,7.76883e-11,25.526859,6.9297964e-16,1,1,1
4.78045,580.30902,3.5330821e-10,42.292506,3.1515092e-15,1,1,1
4.79995,54.303341,3.3061378e-11,19.200793,2.949075e-16,1,1,1
4.9004,89.603035,5.455281e-11,22.689132,4.8661107e-16,1,1,1
4.90195,70.902641,4.3167492e-11,20.98607,3.8505403e-16,1,1,1
4.91185,113.70415,6.9226235e-11,24.564188,6.1749802e-16,1,1,1
4.98155,98.104851,5.9728951e-11,23.385167,5.3278224e-16,1,1,1
4.985,44.801506,2.7276398e-11,18.008375,2.4330547e-16,1,1,1
5.1199,91.003754,5.5405606e-11,22.806751,4.9421801e-16,1,1,1
5.1239,107.60308,6.5511737e-11,24.116737,5.8436469e-16,1,1,1
5.1335,68.202286,4.1523441e-11,20.716193,3.7038909e-16,1,1,1
5.13475,183.3036,1.1160031e-10,28.802752,9.9547479e-16,1,1,1
5.1617,175.00397,1.0654726e-10,28.361309,9.5040159e-16,1,1,1
5.1826,370.60413,2.2563406e-10,36.420597,2.0126558e-15,1,1,1
5.23745,395.50638,2.4079524e-10,37.218723,2.1478935e-15,1,1,1
5.32095,88.303391,5.3761551e-11,22.578899,4.7955303e-16,1,1,1
5.3274,107.60305,6.5511718e-11,24.116735,5.8436453e-16,1,1,1
5.3358,77.202293,4.7002895e-11,21.590053,4.1926582e-16,1,1,1
5.3488,90.603043,5.5161642e-11,22.773227,4.9204185e-16,1,1,1
5.36935,75.501938,4.5967672e-11,21.43037,4.1003163e-16,1,1,1
5.38895,61.501904,3.7444063e-11,20.014273,3.3400104e-16,1,1,1
5.399,50.202251,3.0564521e-11,18.704727,2.7263553e-16,1,1,1
5.40505,153.30351,9.3335426e-11,27.136949,8.32552e-16,1,1,1
5.433,73.602997,4.4811544e-11,21.249178,3.9971897e-16,1,1,1
5.4374,264.40494,1.6097705e-10,32.543693,1.4359153e-15,1,1,1
5.4949,141.00388,8.5847066e-11,26.390887,7.6575583e-16,1,1,1
5.49695,2224.709,1.3544645e-09,66.191371,1.2081823e-14,1,1,1
5.59615,97.501968,5.93619e-11,23.337165,5.2950814e-16,1,1,1
5.64815,89.902695,5.4735251e-11,22.714397,4.8823844e-16,1,1,1
5.67155,126.30349,7.6897064e-11,25.439902,6.8592181e-16,1,1,1
5.6755,71.602997,4.3593888e-11,21.054942,3.8885748e-16,1,1,1
5.70985,102.70413,6.2529121e-11,23.745042,5.5775976e-16,1,1,1
5.7292,143.60672,8.743175e-11,26.552285,7.7989121e-16,1,1,1
5.7342,88.003746,5.3579119e-11,22.553331,4.7792574e-16,1,1,1
5.74785,925.31085,5.6335488e-10,49.409015,5.0251255e-15,1,1,1
5.77985,279.50604,1.7017102e-10,33.15182,1.5179255e-15,1,1,1
5.7869,289.00436,1.7595386e-10,33.523172,1.5695085e-15,1,1,1
5.82835,294.70477,1.7942443e-10,33.742146,1.6004659e-15,1,1,1
5.8758,102.00376,6.2102716e-11,23.690944,5.5395623e-16,1,1,1
5.8802,161.2025,9.8144548e-11,27.595244,8.7544936e-16,1,1,1
5.9081,67.202271,4.0914604e-11,20.614444,3.6495827e-16,1,1,1
5.9166,503.00851,3.0624552e-10,40.324478,2.73171e-15,1,1,1
5.9279,97.202324,5.9179468e-11,23.313234,5.2788085e-16,1,1,1
5.9299,94.40448,5.7476063e-11,23.087373,5.1268648e-16,1,1,1
5.9694,204.60683,1.245703e-10,29.877919,1.1111671e-15,1,1,1
6.00575,111.70415,6.800858e-11,24.419311,6.0663653e-16,1,1,1
6.0266,184.60327,1.1239159e-10,28.870664,1.0025329e-15,1,1,1
6.0282,132.00383,8.0367589e-11,25.817003,7.1687889e-16,1,1,1
6.1377,76.603027,4.6638045e-11,21.534045,4.1601136e-16,1,1,1
6.17475,59.303349,3.6105522e-11,19.772885,3.2206125e-16,1,1,1
6.1855,86.202301,5.2482349e-11,22.398379,4.6814255e-16,1,1,1
6.2296,187.00397,1.138532e-10,28.995276,1.0155705e-15,1,1,1
6.2862,267.80554,1.6304743e-10,32.682617,1.4543831e-15,1,1,1
6.29495,140.30351,8.5420665e-11,26.347121,7.6195234e-16,1,1,1
6.3039,59.602985,3.6287949e-11,19.806131,3.236885e-16,1,1,1
6.3186,134.60313,8.1950117e-11,25.985358,7.3099505e-16,1,1,1
6.34635,271.10532,1.6505643e-10,32.816303,1.4723033e-15,1,1,1
6.3584,73.603004,4.4811548e-11,21.249179,3.9971901e-16,1,1,1
6.49835,146.90279,8.9438486e-11,26.753893,7.977913e-16,1,1,1
6.52155,244.1053,1.4861807e-10,31.688575,1.3256732e-15,1,1,1
6.53625,168.3036,1.024679e-10,27.994633,9.1401364e-16,1,1,1
6.54975,58.5019,3.5617577e-11,19.683408,3.1770879e-16,1,1,1
6.56835,115.70416,7.04439e-11,24.707377,6.2835959e-16,1,1,1
6.58285,92.704117,5.6440835e-11,22.947919,5.0345224e-16,1,1,1
6.6082,63.202267,3.8479291e-11,20.197046,3.4323528e-16,1,1,1
6.6753,220.4048,1.3418855e-10,30.627907,1.1969619e-15,1,1,1
6.67885,78.303368,4.767326e-11,21.692209,4.2524548e-16,1,1,1
6.70045,79.303375,4.8282092e-11,21.784162,4.3067626e-16,1,1,1
6.71805,238.50945,1.4521116e-10,31.444559,1.2952835e-15,1,1,1
6.7397,74.603012,4.5420381e-11,21.344981,4.0514979e-16,1,1,1
6.8032,61.202263,3.7261633e-11,19.981717,3.3237377e-16,1,1,1
6.8194,358.4054,2.1820713e-10,36.016526,1.9464076e-15,1,1,1
6.86075,61.704082,3.7567155e-11,20.036181,3.3509902e-16,1,1,1
6.86505,99.303406,6.0458665e-11,23.480014,5.3929129e-16,1,1,1
6.86635,108.30342,6.5938123e-11,24.168945,5.8816806e-16,1,1,1
6.8711,227.40475,1.3845031e-10,30.948777,1.2349768e-15,1,1,1
6.87225,87.303383,5.3152718e-11,22.493343,4.7412225e-16,1,1,1
6.9083,91.202316,5.5526497e-11,22.823326,4.9529635e-16,1,1,1
6.96055,102.90271,6.2650021e-11,23.760336,5.5883818e-16,1,1,1
6.9912,313.40509,1.908097e-10,34.441257,1.7020225e-15,1,1,1
7.00455,57.501892,3.5008745e-11,19.57061,3.1227801e-16,1,1,1
7.0128,97.603043,5.9423436e-11,23.345227,5.3005705e-16,1,1,1
7.0149,82.603012,5.0291002e-11,22.082197,4.4859574e-16,1,1,1
7.0201,221.80548,1.3504132e-10,30.692651,1.2045686e-15,1,1,1
7.04835,88.303383,5.3761546e-11,22.578899,4.7955299e-16,1,1,1
7.05625,86.104843,5.2423014e-11,22.389935,4.6761328e-16,1,1,1
7.1065,118.6031,7.2208851e-11,24.912022,6.4410295e-16,1,1,1
7.13825,204.5058,1.245088e-10,29.873001,1.1106185e-15,1,1,1
7.14125,80.303375,4.889092e-11,21.875345,4.36107e-16,1,1,1
7.1641,166.60323,1.0143266e-10,27.900037,9.0477932e-16,1,1,1
7.17275,84.902664,5.1691094e-11,22.285245,4.6108456e-16,1,1,1
7.17775,114.70415,6.9835063e-11,24.63599,6.2292876e-16,1,1,1
7.19535,92.704117,5.6440835e-11,22.947919,5.0345224e-16,1,1,1
7.22215,84.501938,5.1447121e-11,22.250129,4.5890832e-16,1,1,1
7.22695,182.10498,1.1087056e-10,28.739834,9.8896537e-16,1,1,1
7.27265,145.50566,8.8587878e-11,26.668808,7.9020387e-16,1,1,1
7.29435,125.50206,7.6409131e-11,25.38598,6.8156945e-16,1,1,1
7.3547,43.801506,2.666757e-11,17.873379,2.3787473e-16,1,1,1
7.358,51.801517,3.1538199e-11,18.901277,2.8132073e-16,1,1,1
7.36025,177.90645,1.0831437e-10,28.517243,9.6616422e-16,1,1,1
7.38485,117.30345,7.1417591e-11,24.820693,6.3704491e-16,1,1,1
7.4234,146.80527,8.9379114e-11,26.747972,7.972617e-16,1,1,1
7.42585,120.90276,7.3608952e-11,25.072004,6.5659185e-16,1,1,1
7.46715,462.3049,2.8146403e-10,39.206055,2.5106592e-15,1,1,1
7.48705,49.101158,2.9894145e-11,18.566964,2.6665578e-16,1,1,1
7.50945,140.70422,8.5664629e-11,26.372179,7.6412849e-16,1,1,1
7.51745,108.70414,6.6182092e-11,24.198717,5.9034426e-16,1,1,1
7.537,469.60477,2.8590839e-10,39.411335,2.5503029e-15,1,1,1
7.5501,162.20605,9.875554e-11,27.652389,8.8089942e-16,1,1,1
7.56465,191.90295,1.1683584e-10,29.246295,1.0421756e-15,1,1,1
7.60675,90.704124,5.5223184e-11,22.781693,4.925908e-16,1,1,1
7.69465,133.50562,8.1281917e-11,25.914539,7.250347e-16,1,1,1
7.724,632.80676,3.8527029e-10,43.531204,3.436611e-15,1,1,1
