# SPCal Export 1.2.4
# Date,Mon Jun 24 22:13:16 2024
# File,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Nano\RawData\Guadalupe RawData\2024-05-28_Cu_AF_paint\4-10_1.csv
# Acquisition events,499999
#
# Options and inputs,Cu,
# Density,8.92,g/cm3
# Dwelltime,0.1,ms
# Efficiency,0.0041561106,
# Mass fraction,1,
# Molar mass,63.546,g/mol
# Response,2.412,counts/(μg/L)
# Time,49.9999,s
# Uptake,0.212,ml/min
#
# Limit method,Gaussian (alpha=2.867e-07)
#
# Detection results,Cu,
# Particle number,389
# Number error,19.723083
# Number concentration,5.297961e+08,#/L
# Mass concentration,0.12306421,μg/L
#
# Background,12.579896,counts
#,11.792412,nm
# Background error,5.6714544,counts
# Ionic background,5.2155456,μg/L
#
# Mean,Cu,
#,381.52992,counts
#,2.3228599e-10,μg
#,34.959785,nm
#,2.071991e-15,m³
# Median,Cu,
#,290.08591,counts
#,1.7661234e-10,μg
#,33.564938,nm
#,1.575382e-15,m³
# Limits of detection,Cu,
#,45.131265,counts
#,2.7477165e-11,μg
#,18.05245,nm
#,2.4509631e-16,m³
#
# Peak composition,count,Cu,,error
# Raw detection data
Time,Cu,,Cu,,Cu,,Cu,,cluster idx,cluster idx,cluster idx
s,counts,μg,nm,m³,signal,mass,size
6.1092,195.9649,1.1930886e-10,29.451206,1.0642351e-15,1,1,1
6.16455,220.08556,1.3399418e-10,30.613113,1.1952281e-15,1,1,1
6.603,314.17084,1.9127591e-10,34.469284,1.7061811e-15,1,1,1
6.6684,200.96492,1.2235301e-10,29.699586,1.0913889e-15,1,1,1
6.8847,410.13544,2.4970182e-10,37.672063,2.2273402e-15,1,1,1
7.0454,416.68948,2.536921e-10,37.871673,2.2629335e-15,1,1,1
7.05875,325.05032,1.9789964e-10,34.862659,1.7652648e-15,1,1,1
7.1489,207.96497,1.2661483e-10,30.040492,1.1294043e-15,1,1,1
7.1643,396.37653,2.4132501e-10,37.245998,2.1526191e-15,1,1,1
7.2922,354.17096,2.1562909e-10,35.874123,1.9234115e-15,1,1,1
7.4044,600.44928,3.6557016e-10,42.776221,3.2608858e-15,1,1,1
7.4472,452.17145,2.752945e-10,38.917478,2.455627e-15,1,1,1
7.48925,507.22079,3.0881007e-10,40.436727,2.7545858e-15,1,1,1
7.6072,210.96498,1.2844133e-10,30.184253,1.1456966e-15,1,1,1
7.74825,243.29117,1.481224e-10,31.653307,1.3212518e-15,1,1,1
7.83725,304.84494,1.8559805e-10,34.124789,1.6555346e-15,1,1,1
7.8831,183.20596,1.1154087e-10,28.797636,9.9494452e-16,1,1,1
8.0199,298.65314,1.818283e-10,33.892167,1.6219085e-15,1,1,1
8.0299,185.72379,1.1307379e-10,28.92896,1.0086182e-15,1,1,1
8.09695,648.53375,3.9484532e-10,43.888881,3.5220202e-15,1,1,1
8.12605,323.53244,1.9697551e-10,34.808309,1.7570216e-15,1,1,1
8.2878,229.96509,1.4000912e-10,31.064494,1.2488813e-15,1,1,1
8.46225,189.32658,1.1526727e-10,29.114824,1.028184e-15,1,1,1
8.5772,300.20642,1.8277399e-10,33.950823,1.630344e-15,1,1,1
8.68015,624.81073,3.8040208e-10,43.347076,3.3931866e-15,1,1,1
8.73665,342.32715,2.0841825e-10,35.469693,1.8590908e-15,1,1,1
8.9422,325.2066,1.9799479e-10,34.868246,1.7661135e-15,1,1,1
9.0291,265.68857,1.6175856e-10,32.596272,1.4428864e-15,1,1,1
9.15,267.9295,1.6312291e-10,32.687659,1.4550563e-15,1,1,1
9.16215,414.08673,2.5210747e-10,37.792656,2.2487987e-15,1,1,1
9.1777,186.20599,1.1336737e-10,28.953975,1.0112369e-15,1,1,1
9.4148,241.44727,1.4699978e-10,31.573137,1.3112381e-15,1,1,1
9.6349,174.72377,1.0637667e-10,28.346165,9.4887991e-16,1,1,1
9.67715,446.81003,2.7203032e-10,38.763051,2.4265105e-15,1,1,1
10.4768,307.44766,1.8718265e-10,34.221631,1.6696693e-15,1,1,1
10.5253,163.68817,9.9657894e-11,27.736356,8.8894841e-16,1,1,1
11.2202,185.4471,1.1290533e-10,28.914587,1.0071156e-15,1,1,1
11.2975,217.44717,1.3238786e-10,30.490291,1.1808997e-15,1,1,1
11.4544,236.44722,1.4395562e-10,31.35367,1.2840841e-15,1,1,1
11.6183,379.96588,2.3133376e-10,36.724721,2.0634971e-15,1,1,1
11.64095,202.08553,1.2303527e-10,29.754687,1.0974746e-15,1,1,1
11.71715,650.21057,3.9586621e-10,43.926674,3.5311266e-15,1,1,1
11.7208,384.93011,2.3435612e-10,36.883965,2.0904566e-15,1,1,1
11.7599,526.41284,3.2049472e-10,40.940436,2.8588129e-15,1,1,1
11.791,441.68896,2.6891248e-10,38.614388,2.3986993e-15,1,1,1
11.811,232.68837,1.4166713e-10,31.186636,1.2636708e-15,1,1,1
11.81405,592.77466,3.6089763e-10,42.593192,3.2192069e-15,1,1,1
11.88065,237.32671,1.4449107e-10,31.392496,1.2888604e-15,1,1,1
11.9705,169.96484,1.0347931e-10,28.086439,9.2303541e-16,1,1,1
11.97715,455.80978,2.7750962e-10,39.021581,2.4753858e-15,1,1,1
11.99975,144.60313,8.8038394e-11,26.613554,7.8530248e-16,1,1,1
12.01375,331.53262,2.0184625e-10,35.092884,1.8004685e-15,1,1,1
12.05505,174.84431,1.0645006e-10,28.352682,9.4953456e-16,1,1,1
12.2239,187.20607,1.1397624e-10,29.005718,1.0166681e-15,1,1,1
12.267,263.44742,1.6039409e-10,32.50436,1.4307153e-15,1,1,1
12.36725,354.01477,2.15534e-10,35.868849,1.9225633e-15,1,1,1
12.54365,460.84589,2.8057574e-10,39.164767,2.5027356e-15,1,1,1
12.54935,335.08603,2.0400966e-10,35.217816,1.8197661e-15,1,1,1
12.56195,151.80872,9.2425352e-11,27.04846,8.2443414e-16,1,1,1
12.7527,203.20604,1.2371747e-10,29.809579,1.1035598e-15,1,1,1
12.7848,425.44785,2.5902444e-10,38.135176,2.310498e-15,1,1,1
12.8119,203.20604,1.2371747e-10,29.809579,1.1035598e-15,1,1,1
12.81355,492.32806,2.9974296e-10,40.037029,2.6737072e-15,1,1,1
13.11535,649.57062,3.9547659e-10,43.912258,3.5276512e-15,1,1,1
13.32375,504.3284,3.070491e-10,40.359718,2.738878e-15,1,1,1
13.355,280.44754,1.7074423e-10,33.189002,1.5230386e-15,1,1,1
13.59045,163.0854,9.9290912e-11,27.702269,8.8567493e-16,1,1,1
13.82635,360.5683,2.1952397e-10,36.088832,1.9581538e-15,1,1,1
13.8418,812.94257,4.9494196e-10,47.322055,4.4148822e-15,1,1,1
13.89895,233.32671,1.4205576e-10,31.215128,1.2671374e-15,1,1,1
13.92585,629.01562,3.8296214e-10,43.444098,3.4160223e-15,1,1,1
14.1047,728.20978,4.4335429e-10,45.617255,3.9547202e-15,1,1,1
14.12535,275.0502,1.6745818e-10,32.974709,1.493727e-15,1,1,1
14.1661,319.2066,1.9434182e-10,34.652476,1.7335291e-15,1,1,1
14.63825,362.77374,2.208667e-10,36.162262,1.970131e-15,1,1,1
14.9295,651.40808,3.9659529e-10,43.953624,3.53763e-15,1,1,1
14.95435,198.08551,1.2059995e-10,29.557059,1.0757515e-15,1,1,1
15.1491,186.9649,1.1382941e-10,28.993257,1.0153584e-15,1,1,1
15.3574,339.44772,2.0666518e-10,35.369963,1.8434534e-15,1,1,1
15.59215,210.84444,1.2836793e-10,30.178503,1.145042e-15,1,1,1
15.6798,683.44958,4.1610304e-10,44.662785,3.7116391e-15,1,1,1
15.69545,195.08551,1.1877346e-10,29.407085,1.0594593e-15,1,1,1
15.72095,218.08556,1.3277653e-10,30.520099,1.1843666e-15,1,1,1
15.81485,738.32983,4.4951566e-10,45.8276,4.0096797e-15,1,1,1
15.8469,434.68918,2.6465081e-10,38.409317,2.3606853e-15,1,1,1
16.1031,605.13593,3.6842352e-10,42.887226,3.2863378e-15,1,1,1
16.1249,233.96506,1.4244441e-10,31.243569,1.2706041e-15,1,1,1
16.28985,189.08546,1.1512047e-10,29.102459,1.0268746e-15,1,1,1
16.39265,189.84436,1.1558251e-10,29.141342,1.030996e-15,1,1,1
16.412,176.7238,1.0759435e-10,28.453912,9.5974157e-16,1,1,1
16.52405,284.56802,1.732529e-10,33.350755,1.5454158e-15,1,1,1
16.53695,207.56772,1.2637298e-10,30.021352,1.127247e-15,1,1,1
16.567,352.68887,2.1472676e-10,35.824013,1.9153627e-15,1,1,1
16.59695,433.56873,2.6396865e-10,38.376288,2.3546004e-15,1,1,1
17.0198,174.44708,1.0620822e-10,28.331194,9.4737729e-16,1,1,1
17.3235,776.20941,4.7257779e-10,46.598286,4.2153939e-15,1,1,1
17.49735,5298.3516,3.2257832e-09,88.394227,2.8773986e-14,1,1,1
17.5294,224.44717,1.3664966e-10,30.81402,1.2189149e-15,1,1,1
17.69605,454.56863,2.7675398e-10,38.98613,2.4686455e-15,1,1,1
17.83355,455.05093,2.7704762e-10,38.999914,2.4712647e-15,1,1,1
17.8842,167.72375,1.0211487e-10,27.962447,9.1086463e-16,1,1,1
18.0588,235.96504,1.4366205e-10,31.332343,1.2814655e-15,1,1,1
18.3143,196.96495,1.1991772e-10,29.501219,1.0696661e-15,1,1,1
18.44365,226.08559,1.3764717e-10,30.888816,1.2278127e-15,1,1,1
18.5713,201.68826,1.227934e-10,29.735176,1.0953171e-15,1,1,1
18.66745,178.84435,1.0888539e-10,28.567268,9.712577e-16,1,1,1
18.75655,240.0856,1.4617077e-10,31.513672,1.3038432e-15,1,1,1
18.7629,193.44716,1.1777599e-10,29.324532,1.0505618e-15,1,1,1
18.7645,453.17145,2.7590333e-10,38.946146,2.4610577e-15,1,1,1
18.78725,341.05032,2.0764089e-10,35.425539,1.8521567e-15,1,1,1
18.80695,438.05066,2.6669738e-10,38.50807,2.3789406e-15,1,1,1
18.8365,207.68828,1.2644638e-10,30.027163,1.1279017e-15,1,1,1
18.86185,319.80908,1.9470863e-10,34.674263,1.736801e-15,1,1,1
18.9482,390.72498,2.3788419e-10,37.068132,2.121927e-15,1,1,1
19.0715,1158.7899,7.055034e-10,53.257227,6.2930904e-15,1,1,1
19.1035,345.96573,2.1063352e-10,35.594919,1.878851e-15,1,1,1
19.5499,394.68918,2.4029771e-10,37.193072,2.1434555e-15,1,1,1
19.74105,321.08597,1.9548603e-10,34.720349,1.7437354e-15,1,1,1
19.8894,394.20703,2.4000416e-10,37.177921,2.1408371e-15,1,1,1
19.8959,564.69031,3.437991e-10,41.909623,3.066688e-15,1,1,1
20.3085,334.41199,2.0359928e-10,35.194186,1.8161056e-15,1,1,1
20.49805,193.32655,1.1770256e-10,29.318437,1.0499069e-15,1,1,1
20.7402,190.96495,1.1626475e-10,29.198567,1.0370816e-15,1,1,1
20.8809,506.68936,3.0848652e-10,40.422599,2.7516998e-15,1,1,1
20.94035,145.84425,8.8794022e-11,26.689478,7.9204268e-16,1,1,1
20.9715,244.68835,1.4897305e-10,31.713785,1.3288396e-15,1,1,1
20.9792,646.3772,3.9353235e-10,43.840179,3.5103085e-15,1,1,1
20.98195,192.08546,1.1694695e-10,29.255564,1.0431668e-15,1,1,1
21.0814,335.93002,2.045235e-10,35.247359,1.8243497e-15,1,1,1
21.1562,290.2063,1.7668563e-10,33.569581,1.5760359e-15,1,1,1
21.26895,208.08556,1.2668825e-10,30.046297,1.1300592e-15,1,1,1
21.3954,360.20673,2.1930383e-10,36.076765,1.9561902e-15,1,1,1
21.40245,356.84518,2.1725723e-10,35.964188,1.9379345e-15,1,1,1
21.4591,500.44879,3.0468709e-10,40.25596,2.7178088e-15,1,1,1
21.72535,326.84512,1.9899237e-10,34.926707,1.7750119e-15,1,1,1
21.7858,843.41492,5.1349437e-10,47.906091,4.5803698e-15,1,1,1
22.2157,676.44971,4.1184132e-10,44.509783,3.6736246e-15,1,1,1
22.3103,304.68857,1.8550284e-10,34.118953,1.6546853e-15,1,1,1
22.36145,480.08713,2.9229034e-10,39.702422,2.6072299e-15,1,1,1
22.3693,267.68842,1.6297612e-10,32.677852,1.453747e-15,1,1,1
22.55795,876.12909,5.3341166e-10,48.517641,4.758032e-15,1,1,1
22.69045,382.32767,2.3277168e-10,36.800655,2.0763233e-15,1,1,1
22.81325,178.32654,1.0857014e-10,28.539671,9.6844562e-16,1,1,1
22.8405,141.96477,8.6432083e-11,26.4507,7.7097418e-16,1,1,1
23.0207,323.44766,1.969239e-10,34.805268,1.7565612e-15,1,1,1
23.0236,416.65347,2.5367018e-10,37.870582,2.262738e-15,1,1,1
23.23175,175.56763,1.0689044e-10,28.391726,9.5346268e-16,1,1,1
23.2588,419.4483,2.5537175e-10,37.955069,2.277916e-15,1,1,1
23.3215,375.44757,2.2858288e-10,36.578572,2.0389593e-15,1,1,1
23.4209,160.96483,9.7999847e-11,27.581675,8.7415864e-16,1,1,1
23.4582,496.20764,3.0210496e-10,40.141919,2.6947762e-15,1,1,1
23.6884,171.96486,1.0469697e-10,28.196176,9.3389698e-16,1,1,1
23.86755,771.57043,4.6975346e-10,46.50527,4.1902008e-15,1,1,1
23.90785,282.80914,1.7218204e-10,33.281901,1.5358638e-15,1,1,1
24.13285,364.08609,2.216657e-10,36.205816,1.977258e-15,1,1,1
24.2113,377.68903,2.2994754e-10,36.65122,2.0511321e-15,1,1,1
24.39485,166.56766,1.01411e-10,27.898051,9.0458616e-16,1,1,1
24.4065,478.68942,2.9143938e-10,39.663855,2.5996393e-15,1,1,1
24.4741,166.72374,1.0150603e-10,27.906763,9.054338e-16,1,1,1
24.5275,317.41193,1.9324917e-10,34.587411,1.7237826e-15,1,1,1
24.567,319.2067,1.9434188e-10,34.652479,1.7335296e-15,1,1,1
24.7883,235.44727,1.4334682e-10,31.309408,1.2786536e-15,1,1,1
24.9352,256.20627,1.5598547e-10,32.203783,1.3913904e-15,1,1,1
25.3776,334.68872,2.0376777e-10,35.203891,1.8176085e-15,1,1,1
25.39505,404.32764,2.4616587e-10,37.493397,2.1957995e-15,1,1,1
25.5776,239.72406,1.4595065e-10,31.497846,1.3018798e-15,1,1,1
25.8234,246.96513,1.5035922e-10,31.811845,1.3412042e-15,1,1,1
25.92405,218.8445,1.3323859e-10,30.555462,1.1884883e-15,1,1,1
25.98515,453.32806,2.7599868e-10,38.950632,2.4619083e-15,1,1,1
26.1943,235.72404,1.4351533e-10,31.321672,1.2801567e-15,1,1,1
26.5087,302.41183,1.841167e-10,34.033758,1.642321e-15,1,1,1
26.69375,166.8443,1.0157943e-10,27.913488,9.0608853e-16,1,1,1
26.85705,485.56888,2.9562779e-10,39.852961,2.6369998e-15,1,1,1
26.9154,392.41226,2.3891146e-10,37.121413,2.1310902e-15,1,1,1
27.02855,379.05051,2.3077645e-10,36.695207,2.0585259e-15,1,1,1
27.0782,335.92987,2.0452341e-10,35.247354,1.8243488e-15,1,1,1
27.11465,200.80882,1.2225797e-10,29.691894,1.0905411e-15,1,1,1
27.1431,224.68829,1.3679646e-10,30.82505,1.2202244e-15,1,1,1
27.18075,159.08539,9.6855592e-11,27.473906,8.6395188e-16,1,1,1
27.29365,313.08594,1.9061539e-10,34.429562,1.7002893e-15,1,1,1
27.36925,1030.2633,6.2725284e-10,51.210583,5.5950954e-15,1,1,1
27.5232,268.2063,1.6329143e-10,32.698912,1.4565595e-15,1,1,1
27.61835,1426.2291,8.683278e-10,57.074232,7.745484e-15,1,1,1
27.62255,289.80905,1.7644378e-10,33.554257,1.5738785e-15,1,1,1
27.71235,538.32843,3.2774926e-10,41.247036,2.9235234e-15,1,1,1
27.7929,204.96495,1.2478834e-10,29.895341,1.113112e-15,1,1,1
27.7968,176.96486,1.0774111e-10,28.466844,9.6105069e-16,1,1,1
28.23725,372.0864,2.2653651e-10,36.469088,2.0207056e-15,1,1,1
28.25525,216.8445,1.3202094e-10,30.462096,1.1776268e-15,1,1,1
28.3455,322.17078,1.9614649e-10,34.759407,1.7496267e-15,1,1,1
28.37135,122.60307,7.4644148e-11,25.18899,6.658258e-16,1,1,1
28.542,836.93237,5.0954762e-10,47.783039,4.5451647e-15,1,1,1
28.59505,248.56784,1.5133499e-10,31.880512,1.3499081e-15,1,1,1
28.81395,261.08578,1.5895626e-10,32.406942,1.4178898e-15,1,1,1
28.96255,155.84428,9.4882318e-11,27.286046,8.4635027e-16,1,1,1
29.2765,198.96497,1.2113538e-10,29.600736,1.0805276e-15,1,1,1
29.2988,1006.8492,6.1299768e-10,50.819663,5.4679393e-15,1,1,1
29.3328,305.96545,1.8628025e-10,34.166548,1.6616198e-15,1,1,1
29.4734,221.44719,1.3482318e-10,30.676116,1.2026228e-15,1,1,1
29.55995,387.08618,2.3566879e-10,36.952702,2.1021656e-15,1,1,1
30.02655,205.08554,1.2486176e-10,29.901203,1.1137669e-15,1,1,1
30.25425,257.32681,1.5666769e-10,32.250664,1.3974758e-15,1,1,1
30.2777,262.96527,1.6010054e-10,32.484519,1.4280968e-15,1,1,1
30.76895,207.32666,1.2622621e-10,30.009726,1.1259378e-15,1,1,1
30.8044,233.20622,1.4198241e-10,31.209755,1.2664831e-15,1,1,1
30.8629,220.72389,1.3438282e-10,30.642681,1.1986948e-15,1,1,1
30.91115,238.56775,1.4524665e-10,31.447121,1.2956002e-15,1,1,1
30.97025,187.60329,1.1421808e-10,29.026218,1.0188253e-15,1,1,1
31.2132,252.44724,1.5369687e-10,32.04551,1.3709761e-15,1,1,1
31.3439,151.72371,9.2373598e-11,27.04341,8.2397249e-16,1,1,1
31.45705,423.0867,2.575869e-10,38.064498,2.2976752e-15,1,1,1
31.6244,392.20709,2.3878654e-10,37.114942,2.129976e-15,1,1,1
31.76695,1237.6788,7.5353316e-10,54.439354,6.7215158e-15,1,1,1
31.941,271.20642,1.6511798e-10,32.820382,1.4728524e-15,1,1,1
32.1622,260.72418,1.5873611e-10,32.391974,1.4159261e-15,1,1,1
32.53215,209.84445,1.2775912e-10,30.130718,1.1396113e-15,1,1,1
32.7387,352.20667,2.1443318e-10,35.807679,1.9127439e-15,1,1,1
32.8748,7105.4346,4.3259854e-09,97.478131,3.858779e-14,1,1,1
32.94595,461.32782,2.8086916e-10,39.178415,2.5053529e-15,1,1,1
32.94865,160.60318,9.7779665e-11,27.561003,8.7219461e-16,1,1,1
33.02365,745.81219,4.5407113e-10,45.981888,4.0503144e-15,1,1,1
33.0917,373.96591,2.2768081e-10,36.530391,2.0309128e-15,1,1,1
33.09545,218.8445,1.3323859e-10,30.555462,1.1884883e-15,1,1,1
33.256,183.72379,1.1185613e-10,28.824743,9.9775668e-16,1,1,1
33.2847,299.44739,1.8231187e-10,33.922185,1.6262218e-15,1,1,1
33.5243,163.96481,9.9826321e-11,27.751973,8.9045078e-16,1,1,1
33.64295,180.60329,1.0995628e-10,28.660616,9.8081006e-16,1,1,1
33.6696,600.93146,3.6586372e-10,42.787669,3.2635044e-15,1,1,1
33.72485,293.08582,1.7843876e-10,33.680245,1.5916738e-15,1,1,1
33.77315,232.08562,1.4130015e-10,31.159685,1.2603974e-15,1,1,1
