X value [cm⁻¹],IR Spectrum 1/O-PTIR (mV) [],out 1/O-PTIR (mV) [],out2/O-PTIR (mV) [],IR Spectrum 6/O-PTIR (mV) [],IR Spectrum 7/O-PTIR (mV) [],IR Spectrum 8/O-PTIR (mV) [],out4/O-PTIR (mV) [],out5/O-PTIR (mV) [],IR Spectrum 16/O-PTIR (mV) []
935,55.7992973327637,158.229476928711,5.75302410125732,7.63364028930664,5.71133613586426,-5.13564729690552,17.0641136169434,38.6253890991211,-10.1489028930664
937,58.1697769165039,165.792953491211,2.5137882232666,12.5169439315796,4.21567010879517,-4.02969932556152,7.2258563041687,19.0983657836914,-0.237157642841339
939,65.6400909423828,176.001968383789,6.4131875038147,10.320779800415,-1.13177382946014,1.60287404060364,7.87200689315796,28.2566184997559,0.963441729545593
941,76.4071960449219,184.573638916016,10.2707405090332,12.7668542861938,0.715810596942902,1.40667200088501,14.388500213623,36.3023643493652,-0.815487921237946
943,83.9441604614258,199.613876342773,12.5080080032349,11.8001470565796,2.59357333183289,0.16898900270462,21.7277603149414,40.681396484375,-0.568507313728333
945,89.0814743041992,204.079055786133,13.6975336074829,14.9695281982422,0.13389265537262,0.0245448593050241,20.3841361999512,54.3139457702637,3.06646680831909
947,90.2190933227539,201.959060668945,12.7822303771973,13.4592847824097,1.69527149200439,3.22134494781494,21.9385089874268,55.594181060791,3.10113835334778
949,91.8285369873047,205.440628051758,13.6427640914917,16.607250213623,5.72952270507813,3.03647541999817,25.7354946136475,50.5159225463867,2.51707744598389
951,97.5529098510742,209.393524169922,9.95052051544189,20.7347869873047,6.33784294128418,3.46235299110413,24.4479026794434,57.4756813049316,3.15973734855652
953,104.364967346191,210.621444702148,10.3711233139038,22.8840656280518,5.97336101531982,2.85010123252869,25.6048164367676,58.6460571289063,1.14306688308716
955,106.623794555664,213.614395141602,11.8073902130127,23.5241470336914,7.47310590744019,1.15469682216644,28.4363307952881,53.4965438842773,0.54848325252533
957,111.903854370117,218.045547485352,12.0126848220825,23.6871509552002,7.47607231140137,1.04967081546783,27.8577156066895,51.3794021606445,1.64284992218018
959,117.952568054199,227.580993652344,12.8772411346436,27.2627925872803,5.64943742752075,1.23318779468536,29.7161960601807,52.9679718017578,1.55660796165466
961,124.614715576172,238.496276855469,12.6548080444336,26.8444480895996,7.39393281936646,2.88084936141968,29.5665454864502,56.8144302368164,3.08868598937988
963,128.825668334961,252.553680419922,12.2386808395386,26.5371341705322,8.65427780151367,4.18364667892456,28.789514541626,58.3503074645996,4.76101779937744
965,134.250854492188,273.559143066406,14.3635196685791,27.13743019104,9.45353221893311,4.54088640213013,32.0192832946777,56.8976898193359,3.21384906768799
967,140.568374633789,293.423889160156,15.5294723510742,27.9436683654785,9.70980167388916,5.14408397674561,35.5221710205078,57.5163536071777,2.48890805244446
969,142.830673217773,311.242248535156,14.0693693161011,28.8592109680176,10.553318977356,5.92863321304321,38.5136299133301,59.8261566162109,2.92561268806458
971,144.583694458008,330.558776855469,14.2940607070923,29.6536464691162,11.0717086791992,6.89185523986816,40.8060874938965,59.0462188720703,4.06747674942017
973,140.615417480469,345.868133544922,15.197793006897,28.7140483856201,11.2921772003174,7.74502658843994,40.6996383666992,60.7339210510254,5.16526985168457
975,136.23291015625,364.323486328125,16.2187023162842,29.0704574584961,11.1427297592163,7.67048358917236,42.1910781860352,61.8167610168457,5.54797172546387
977,138.454605102539,381.955291748047,16.1486167907715,28.4918823242188,11.8497838973999,7.37171983718872,45.2618141174316,61.9907417297363,6.83907604217529
979,142.35319519043,393.146667480469,17.3923835754395,27.3349475860596,12.0031585693359,7.77888774871826,45.3796043395996,63.3232536315918,6.4355993270874
981,141.630493164063,404.426177978516,18.4376888275146,26.6928653717041,12.4879455566406,7.52233743667603,47.2309455871582,64.7878341674805,6.91138792037964
983,137.423873901367,415.493438720703,19.3937740325928,26.4033336639404,13.3249540328979,7.38673782348633,49.0480804443359,64.1773071289063,7.80146312713623
985,132.658142089844,421.452026367188,19.6990795135498,27.7575435638428,13.0497465133667,7.91007900238037,51.8078079223633,65.2812194824219,8.58797168731689
987,133.163635253906,423.955902099609,19.9747314453125,28.2629127502441,13.018177986145,7.98428773880005,54.0994758605957,67.2892913818359,9.15955924987793
989,138.071075439453,431.917694091797,22.1944770812988,27.5371570587158,14.0395040512085,7.80346012115479,56.6165237426758,69.6802368164063,9.82396221160889
991,140.739532470703,440.460388183594,24.8304042816162,30.9165859222412,14.7237691879272,7.89621639251709,59.4789161682129,71.4508895874023,10.455659866333
993,140.393753051758,444.743377685547,27.3410758972168,31.0226554870605,14.8828639984131,8.08540344238281,61.1090507507324,74.8306503295898,10.8591527938843
995,141.867752075195,448.264038085938,29.2053356170654,33.2080955505371,15.6810255050659,8.16942882537842,63.3839416503906,78.2464370727539,11.3141269683838
997,140.474990844727,458.434295654297,30.7370433807373,37.1227226257324,16.4336948394775,8.81863021850586,67.9718322753906,80.9443511962891,12.6104764938354
999,145.394821166992,472.689208984375,33.1638717651367,36.7714004516602,16.8090305328369,9.28001689910889,73.0600204467773,84.5761184692383,14.685399055481
1001,145.477096557617,474.024810791016,34.467456817627,41.1742515563965,17.1912879943848,9.06889152526855,78.5989227294922,88.6942138671875,15.3086137771606
1003,150.954040527344,482.641540527344,36.4705810546875,41.6637268066406,18.1294708251953,9.86410331726074,85.4203109741211,92.7112655639648,15.7989616394043
1005,157.420654296875,499.254760742188,40.4148864746094,41.4536666870117,18.5099792480469,10.4639682769775,92.8592224121094,98.4600830078125,17.4125728607178
1007,166.954147338867,510.791564941406,44.2163848876953,44.861759185791,19.1969184875488,10.7569169998169,100.065361022949,102.759246826172,18.9878273010254
1009,169.645233154297,526.154418945313,47.2232551574707,45.6202545166016,20.0694828033447,11.2375812530518,107.746864318848,107.306732177734,20.6831493377686
1011,170.683441162109,541.555786132813,50.5312843322754,46.9655990600586,20.0871067047119,11.3943471908569,116.273315429688,113.276977539063,23.9680042266846
1013,173.003112792969,557.510559082031,54.0308265686035,50.2518081665039,19.9765949249268,11.9674263000488,124.489112854004,117.243721008301,26.5947246551514
1015,175.346466064453,571.618286132813,57.1401519775391,51.8821868896484,20.5278186798096,12.2458562850952,130.729339599609,120.452919006348,27.7874355316162
1017,178.073440551758,578.184326171875,59.9202728271484,56.5447311401367,20.9032306671143,12.5568370819092,137.651748657227,124.585525512695,30.7323799133301
1019,174.282424926758,587.665832519531,60.5363845825195,54.5653533935547,21.145658493042,12.6495027542114,142.866912841797,127.339775085449,33.3224449157715
1021,170.096633911133,602.581604003906,62.3385581970215,57.6619834899902,21.3224868774414,12.8933115005493,147.395767211914,130.738784790039,34.9135322570801
1023,167.125381469727,616.074584960938,63.9066848754883,61.1127510070801,20.9321804046631,13.2547950744629,151.936050415039,131.601928710938,38.785774230957
1025,163.793212890625,627.987426757813,64.9719314575195,60.2263984680176,21.2760791778564,13.1237668991089,154.295181274414,132.032791137695,40.8400573730469
1027,166.041946411133,637.96826171875,66.281494140625,66.2850799560547,21.7847480773926,13.1307163238525,156.594177246094,133.362609863281,40.4933967590332
1029,169.623260498047,647.034606933594,67.1360702514648,66.9761428833008,21.5958271026611,12.9666976928711,157.392852783203,133.924621582031,42.1931304931641
1031,170.963439941406,655.06982421875,68.5561065673828,65.0976867675781,21.353443145752,13.0953559875488,159.474563598633,134.199645996094,42.460132598877
1033,171.621215820313,660.514343261719,70.2447509765625,71.1352767944336,21.5189514160156,13.1740598678589,160.022827148438,135.128662109375,41.2868499755859
1035,167.807922363281,664.791625976563,69.7439727783203,72.5013122558594,21.4105129241943,12.9406852722168,158.355102539063,135.608795166016,39.0007934570313
1037,163.945419311523,669.608459472656,69.3877868652344,70.2205123901367,21.2739391326904,13.1119194030762,158.655181884766,135.024795532227,37.0264053344727
1039,158.692321777344,675.421630859375,68.8718872070313,71.9459075927734,21.357479095459,13.52161693573,157.957626342773,133.614562988281,35.3404846191406
1041,151.832824707031,673.471862792969,66.3528060913086,71.3167419433594,21.2679786682129,13.5617160797119,154.793151855469,135.290222167969,31.9219799041748
1043,147.862854003906,676.425537109375,63.4523735046387,71.2418746948242,21.0051593780518,13.613317489624,151.56233215332,134.036834716797,28.9075469970703
1045,148.2265625,677.447570800781,60.6683654785156,70.1148834228516,20.5037746429443,13.322793006897,148.052764892578,130.682006835938,27.4138679504395
1047,148.126937866211,669.522216796875,57.2554512023926,69.7778167724609,20.0271110534668,13.0541048049927,142.948333740234,128.747009277344,25.5263900756836
1049,148.631896972656,659.807800292969,53.2887573242188,67.6474761962891,19.5927543640137,12.8597145080566,135.052810668945,125.725570678711,22.5086517333984
1051,146.651184082031,647.725219726563,49.7856330871582,61.5320014953613,19.3747444152832,12.6853160858154,126.893333435059,123.236045837402,21.5018539428711
1053,142.562271118164,633.283142089844,45.4489707946777,59.3901100158691,18.7682514190674,12.0390481948853,119.491744995117,120.222320556641,21.4594268798828
1055,140.624282836914,611.902221679688,41.5921401977539,56.2817459106445,18.6341876983643,11.6446170806885,111.537368774414,114.677352905273,20.4450988769531
1057,139.176666259766,585.850280761719,38.7827911376953,57.9733085632324,18.223388671875,10.94690990448,102.91332244873,110.796165466309,19.1018829345703
1059,137.858703613281,563.676086425781,36.4475326538086,57.8282508850098,17.5845279693604,10.2088375091553,97.6227874755859,108.384269714355,19.3965759277344
1061,139.281143188477,540.967041015625,34.1163482666016,52.9678611755371,17.1008758544922,9.52978610992432,91.8523178100586,105.415542602539,19.7191486358643
1063,139.920532226563,514.560302734375,32.8062744140625,54.7656326293945,16.7055206298828,8.75961589813232,87.3217697143555,104.218757629395,19.3139057159424
1065,138.19303894043,485.604797363281,32.5435600280762,55.6856575012207,16.73610496521,8.30065059661865,83.4327850341797,104.251724243164,19.3498497009277
1067,136.214340209961,462.300323486328,30.4391937255859,52.7180786132813,16.4601497650146,8.32891845703125,78.7088012695313,103.423614501953,20.1006679534912
1069,133.560043334961,438.159118652344,28.9595584869385,54.9576835632324,16.4065036773682,8.4488697052002,76.6021957397461,103.976669311523,19.6028289794922
1071,128.74284362793,409.315856933594,28.5736827850342,51.9474945068359,16.4514217376709,8.40221214294434,73.285758972168,102.75562286377,18.2977714538574
1073,124.498062133789,384.558959960938,27.408374786377,50.275074005127,16.1738624572754,8.87508583068848,68.7130889892578,102.485290527344,17.3685970306396
1075,120.703315734863,359.730102539063,25.9725112915039,54.8329544067383,15.7965717315674,9.03959178924561,65.4184875488281,102.766044616699,15.9142761230469
1077,119.252975463867,334.712707519531,24.5999794006348,50.2634506225586,15.6397495269775,8.82337856292725,62.2867889404297,101.790733337402,14.7962827682495
1079,118.963027954102,310.157287597656,23.3734340667725,47.9880981445313,15.3568344116211,8.85980224609375,59.1756172180176,101.229820251465,12.6817483901978
1081,116.286224365234,289.368011474609,22.2556991577148,50.5082702636719,15.1175851821899,8.90249729156494,55.268798828125,100.328201293945,10.8945951461792
1083,113.282257080078,269.782287597656,21.4620666503906,48.9645538330078,14.8565769195557,8.72336483001709,50.8460235595703,99.1338119506836,9.86546039581299
