,"Ref. Paint",CC1,CC2,CC3,UV1,UV2,UV3,UVFT1,UVFT2,UVFT3,HC1,HC2,HC3,FT1,FT2,FT3
"Ref. Paint",,0.95027763,0.88641192,0.90558972,0.26595553,0.10573693,0.46288191,0.40474766,0.87038022,0.79537803,0.93028402,0.92135498,0.88548681,0.89846745,0.92208239,0.92611915
CC1,0.95027763,,0.93844800,0.94448876,0.22962712,0.08318291,0.45940822,0.40549324,0.88212214,0.83002040,0.98802833,0.92715009,0.93121595,0.93033974,0.95023566,0.94794289
CC2,0.88641192,0.93844800,,0.94595959,0.25900364,0.11012605,0.52117018,0.48684294,0.91262569,0.88743439,0.94687267,0.91360811,0.88799156,0.88424062,0.92637901,0.96167539
CC3,0.90558972,0.94448876,0.94595959,,0.11598609,-0.04241930,0.38773928,0.34562960,0.85595230,0.82038916,0.93037138,0.92694595,0.93369314,0.90399646,0.95497505,0.95632819
UV1,0.26595553,0.22962712,0.25900364,0.11598609,,0.90294220,0.87986650,0.84360092,0.51405736,0.53787957,0.25262498,0.28218147,0.05643627,0.16869364,0.13088407,0.14321238
UV2,0.10573693,0.08318291,0.11012605,-0.04241930,0.90294220,,0.86206156,0.86396521,0.34786661,0.41163552,0.10934698,0.13332520,-0.06751720,0.00153393,-0.04012400,0.00536530
UV3,0.46288191,0.45940822,0.52117018,0.38773928,0.87986650,0.86206156,,0.97428815,0.70652462,0.76951546,0.48869273,0.49706797,0.33712829,0.37500846,0.36322153,0.40644870
UVFT1,0.40474766,0.40549324,0.48684294,0.34562960,0.84360092,0.86396521,0.97428815,,0.65261200,0.71870652,0.42998218,0.43302606,0.27396545,0.29478453,0.30324024,0.37164453
UVFT2,0.87038022,0.88212214,0.91262569,0.85595230,0.51405736,0.34786661,0.70652462,0.65261200,,0.95158640,0.90162616,0.90781971,0.81973534,0.87308211,0.87568217,0.86889081
UVFT3,0.79537803,0.83002040,0.88743439,0.82038916,0.53787957,0.41163552,0.76951546,0.71870652,0.95158640,,0.84662730,0.84332176,0.79434518,0.81334459,0.82261793,0.81682571
HC1,0.93028402,0.98802833,0.94687267,0.93037138,0.25262498,0.10934698,0.48869273,0.42998218,0.90162616,0.84662730,,0.93141380,0.92224302,0.94175706,0.94707382,0.94474124
HC2,0.92135498,0.92715009,0.91360811,0.92694595,0.28218147,0.13332520,0.49706797,0.43302606,0.90781971,0.84332176,0.93141380,,0.90039390,0.92654337,0.94124412,0.94561276
HC3,0.88548681,0.93121595,0.88799156,0.93369314,0.05643627,-0.06751720,0.33712829,0.27396545,0.81973534,0.79434518,0.92224302,0.90039390,,0.94701348,0.96384184,0.92372831
FT1,0.89846745,0.93033974,0.88424062,0.90399646,0.16869364,0.00153393,0.37500846,0.29478453,0.87308211,0.81334459,0.94175706,0.92654337,0.94701348,,0.97164025,0.90421736
FT2,0.92208239,0.95023566,0.92637901,0.95497505,0.13088407,-0.04012400,0.36322153,0.30324024,0.87568217,0.82261793,0.94707382,0.94124412,0.96384184,0.97164025,,0.95126752
FT3,0.92611915,0.94794289,0.96167539,0.95632819,0.14321238,0.00536530,0.40644870,0.37164453,0.86889081,0.81682571,0.94474124,0.94561276,0.92372831,0.90421736,0.95126752,
